# only the first 2 columns are required
Rv0088	J	-	Translation, ribosomal structure and biogenesis 
Rv0089	R	-	General function prediction only 
Rv0090	P	-	Inorganic ion transport and metabolism 
Rv0090	S	-	Function unknown 
Rv0091	F	mtn	Nucleotide transport and metabolism 
Rv0092	P	ctpA	Inorganic ion transport and metabolism 
Rv0093c	S	-	Function unknown 
Rv0097	Q	-	Secondary metabolites biosynthesis, transport and catabolism 
Rv0099	Q	fadD10	Secondary metabolites biosynthesis, transport and catabolism 
Rv0100	Q	-	Secondary metabolites biosynthesis, transport and catabolism 
Rv0101	Q	nrp	Secondary metabolites biosynthesis, transport and catabolism 
Rv0102	S	-	Function unknown 
Rv0103c	P	ctpB	Inorganic ion transport and metabolism 
Rv0104	T	-	Signal transduction mechanisms 
Rv0105c	J	rpmB	Translation, ribosomal structure and biogenesis 
Rv0106	R	-	General function prediction only 
Rv0107c	P	ctpI	Inorganic ion transport and metabolism 
Rv0110	R	-	General function prediction only 
Rv0111	I	-	Lipid transport and metabolism 
Rv0112	G	gca	Carbohydrate transport and metabolism 
Rv0113	G	gmhA	Carbohydrate transport and metabolism 
Rv0114	E	gmhB	Amino acid transport and metabolism 
Rv0115	R	hddA	General function prediction only 
Rv0116c	S	-	Function unknown 
Rv0117	K	oxyS	Transcription 
Rv0118c	H	oxcA	Coenzyme transport and metabolism 
Rv0119	Q	fadD7	Secondary metabolites biosynthesis, transport and catabolism 
Rv0120c	J	fusA2	Translation, ribosomal structure and biogenesis 
Rv0121c	R	-	General function prediction only 
Rv0125	O	pepA	Posttranslational modification, protein turnover, chaperones 
Rv0126	G	treS	Carbohydrate transport and metabolism 
Rv0127	G	-	Carbohydrate transport and metabolism 
Rv0128	S	-	Function unknown 
Rv0129c	R	fbpC	General function prediction only 
Rv0130	I	-	Lipid transport and metabolism 
Rv0131c	I	fadE1	Lipid transport and metabolism 
Rv0132c	C	fgd2	Energy production and conversion 
Rv0133	R	-	General function prediction only 
Rv0134	R	ephF	General function prediction only 
Rv0135c	K	-	Transcription 
Rv0136	Q	cyp138	Secondary metabolites biosynthesis, transport and catabolism 
Rv0137c	O	msrA	Posttranslational modification, protein turnover, chaperones 
Rv0139	G	-	Carbohydrate transport and metabolism 
Rv0140	S	-	Function unknown 
Rv0141c	R	-	General function prediction only 
Rv0142	L	-	Replication, recombination and repair 
Rv0143c	P	-	Inorganic ion transport and metabolism 
Rv0144	K	-	Transcription 
Rv0145	Q	-	Secondary metabolites biosynthesis, transport and catabolism 
Rv0146	Q	-	Secondary metabolites biosynthesis, transport and catabolism 
Rv0147	C	-	Energy production and conversion 
Rv0148	R	-	General function prediction only 
Rv0149	R	-	General function prediction only 
Rv0153c	T	ptbB	Signal transduction mechanisms 
Rv0154c	I	fadE2	Lipid transport and metabolism 
Rv0155	C	pntAa	Energy production and conversion 
Rv0156	C	pntAb	Energy production and conversion 
Rv0157	C	pntB	Energy production and conversion 
Rv0158	K	-	Transcription 
Rv0161	C	-	Energy production and conversion 
Rv0162c	C	adhE1	Energy production and conversion 
Rv0163	R	-	General function prediction only 
Rv0164	I	TB18.5	Lipid transport and metabolism 
Rv0165c	K	-	Transcription 
Rv0166	Q	fadD5	Secondary metabolites biosynthesis, transport and catabolism 
Rv0167	Q	yrbE1A	Secondary metabolites biosynthesis, transport and catabolism 
Rv0168	Q	yrbE1B	Secondary metabolites biosynthesis, transport and catabolism 
Rv0169	Q	mce1A	Secondary metabolites biosynthesis, transport and catabolism 
Rv0169	T	mce1A	Signal transduction mechanisms 
Rv0170	Q	mce1B	Secondary metabolites biosynthesis, transport and catabolism 
Rv0171	Q	mce1C	Secondary metabolites biosynthesis, transport and catabolism 
Rv0171	T	mce1C	Signal transduction mechanisms 
Rv0172	Q	mce1D	Secondary metabolites biosynthesis, transport and catabolism 
Rv0173	Q	lprK	Secondary metabolites biosynthesis, transport and catabolism 
Rv0174	Q	mce1F	Secondary metabolites biosynthesis, transport and catabolism 
Rv0176	S	-	Function unknown 
Rv0180c	S	-	Function unknown 
Rv0181c	R	-	General function prediction only 
Rv0182c	K	sigG	Transcription 
Rv0183	I	-	Lipid transport and metabolism 
Rv0186	G	bglS	Carbohydrate transport and metabolism 
Rv0187	R	-	General function prediction only 
Rv0189c	G	ilvD	Carbohydrate transport and metabolism 
Rv0190	S	-	Function unknown 
Rv0191	G	-	Carbohydrate transport and metabolism 
Rv0192	S	-	Function unknown 
Rv0194	V	-	Defense mechanisms 
Rv0195	K	-	Transcription 
Rv0196	K	-	Transcription 
Rv0197	C	-	Energy production and conversion 
Rv0198c	O	-	Posttranslational modification, protein turnover, chaperones 
Rv0201c	K	-	Transcription 
Rv0202c	R	mmpL11	General function prediction only 
Rv0204c	S	-	Function unknown 
Rv0205	R	-	General function prediction only 
Rv0206c	R	mmpL3	General function prediction only 
Rv0207c	S	-	Function unknown 
Rv0208c	R	trmB	General function prediction only 
Rv0211	C	pckA	Energy production and conversion 
Rv0212c	H	nadR	Coenzyme transport and metabolism 
Rv0213c	C	-	Energy production and conversion 
Rv0214	Q	fadD4	Secondary metabolites biosynthesis, transport and catabolism 
Rv0215c	I	fadE3	Lipid transport and metabolism 
Rv0216	I	-	Lipid transport and metabolism 
Rv0217c	I	lipW	Lipid transport and metabolism 
Rv0218	R	-	General function prediction only 
Rv0220	I	lipC	Lipid transport and metabolism 
Rv0221	Q	-	Secondary metabolites biosynthesis, transport and catabolism 
Rv0222	I	echA1	Lipid transport and metabolism 
Rv0223c	C	-	Energy production and conversion 
Rv0224c	R	-	General function prediction only 
Rv0225	M	-	Cell wall/membrane/envelope biogenesis 
Rv0228	I	-	Lipid transport and metabolism 
Rv0229c	R	-	General function prediction only 
Rv0230c	R	php	General function prediction only 
Rv0231	I	fadE4	Lipid transport and metabolism 
Rv0232	K	-	Transcription 
Rv0233	F	nrdB	Nucleotide transport and metabolism 
Rv0234c	C	gabD1	Energy production and conversion 
Rv0237	G	lpqI	Carbohydrate transport and metabolism 
Rv0238	K	-	Transcription 
Rv0240	R	-	General function prediction only 
Rv0241c	I	-	Lipid transport and metabolism 
Rv0242c	R	fabG	General function prediction only 
Rv0243	I	fadA2	Lipid transport and metabolism 
Rv0244c	I	fadE5	Lipid transport and metabolism 
Rv0245	R	-	General function prediction only 
Rv0247c	C	-	Energy production and conversion 
Rv0248c	C	sdhA	Energy production and conversion 
Rv0251c	O	hsp	Posttranslational modification, protein turnover, chaperones 
Rv0252	C	nirB	Energy production and conversion 
Rv0253	R	nirD	General function prediction only 
Rv0254c	H	cobU	Coenzyme transport and metabolism 
Rv0255c	H	cobQ1	Coenzyme transport and metabolism 
Rv0259c	S	-	Function unknown 
Rv0260c	H	-	Coenzyme transport and metabolism 
Rv0260c	K	-	Transcription 
Rv0261c	P	narK3	Inorganic ion transport and metabolism 
Rv0262c	R	aac	General function prediction only 
Rv0263c	E	-	Amino acid transport and metabolism 
Rv0264c	E	-	Amino acid transport and metabolism 
Rv0265c	P	-	Inorganic ion transport and metabolism 
Rv0266c	Q	oplA	Secondary metabolites biosynthesis, transport and catabolism 
Rv0267	P	narU	Inorganic ion transport and metabolism 
Rv0268c	D	-	Cell cycle control, cell division, chromosome partitioning 
Rv0269c	L	-	Replication, recombination and repair 
Rv0270	Q	fadD2	Secondary metabolites biosynthesis, transport and catabolism 
Rv0271c	I	fadE6	Lipid transport and metabolism 
Rv0273c	K	-	Transcription 
Rv0274	E	-	Amino acid transport and metabolism 
Rv0275c	K	-	Transcription 
Rv0276	S	-	Function unknown 
Rv0281	Q	-	Secondary metabolites biosynthesis, transport and catabolism 
Rv0282	O	-	Posttranslational modification, protein turnover, chaperones 
Rv0284	D	-	Cell cycle control, cell division, chromosome partitioning 
Rv0288	S	esxH	Function unknown 
Rv0291	O	mycP3	Posttranslational modification, protein turnover, chaperones 
Rv0293c	R	-	General function prediction only 
Rv0294	R	tam	General function prediction only 
Rv0295c	S	-	Function unknown 
Rv0296c	P	-	Inorganic ion transport and metabolism 
Rv0299	J	-	Translation, ribosomal structure and biogenesis 
Rv0301	R	-	General function prediction only 
Rv0302	K	-	Transcription 
Rv0303	R	-	General function prediction only 
Rv0304c	S	PPE5	Function unknown 
Rv0306	C	-	Energy production and conversion 
Rv0308	I	-	Lipid transport and metabolism 
Rv0309	S	-	Function unknown 
Rv0312	O	-	Posttranslational modification, protein turnover, chaperones 
Rv0315	G	-	Carbohydrate transport and metabolism 
Rv0316	Q	-	Secondary metabolites biosynthesis, transport and catabolism 
Rv0317c	C	glpQ2	Energy production and conversion 
Rv0318c	P	-	Inorganic ion transport and metabolism 
Rv0319	O	pcp	Posttranslational modification, protein turnover, chaperones 
Rv0321	F	dcd	Nucleotide transport and metabolism 
Rv0322	M	udgA	Cell wall/membrane/envelope biogenesis 
Rv0323c	S	-	Function unknown 
Rv0324	K	-	Transcription 
Rv0324	P	-	Inorganic ion transport and metabolism 
Rv0325	R	-	General function prediction only 
Rv0326	R	-	General function prediction only 
Rv0327c	Q	cyp135A1	Secondary metabolites biosynthesis, transport and catabolism 
Rv0328	K	-	Transcription 
Rv0329c	R	-	General function prediction only 
Rv0330c	K	-	Transcription 
Rv0331	R	-	General function prediction only 
Rv0334	M	rmlA	Cell wall/membrane/envelope biogenesis 
Rv0337c	E	aspC	Amino acid transport and metabolism 
Rv0338c	C	-	Energy production and conversion 
Rv0339c	K	-	Transcription 
Rv0342	R	iniA	General function prediction only 
Rv0343	R	iniC	General function prediction only 
Rv0345	R	-	General function prediction only 
Rv0346c	E	ansP2	Amino acid transport and metabolism 
Rv0348	K	-	Transcription 
Rv0350	O	dnaK	Posttranslational modification, protein turnover, chaperones 
Rv0351	O	grpE	Posttranslational modification, protein turnover, chaperones 
Rv0352	O	dnaJ1	Posttranslational modification, protein turnover, chaperones 
Rv0353	K	hspR	Transcription 
Rv0355c	S	PPE8	Function unknown 
Rv0356c	Q	-	Secondary metabolites biosynthesis, transport and catabolism 
Rv0357c	F	purA	Nucleotide transport and metabolism 
Rv0359	R	-	General function prediction only 
Rv0362	P	mgtE	Inorganic ion transport and metabolism 
Rv0363c	G	fba	Carbohydrate transport and metabolism 
Rv0364	S	-	Function unknown 
Rv0365c	G	-	Carbohydrate transport and metabolism 
Rv0366c	S	-	Function unknown 
Rv0368c	R	-	General function prediction only 
Rv0369c	S	-	Function unknown 
Rv0370c	R	-	General function prediction only 
Rv0371c	R	-	General function prediction only 
Rv0372c	O	-	Posttranslational modification, protein turnover, chaperones 
Rv0373c	C	-	Energy production and conversion 
Rv0374c	C	-	Energy production and conversion 
Rv0375c	C	-	Energy production and conversion 
Rv0376c	O	-	Posttranslational modification, protein turnover, chaperones 
Rv0377	K	-	Transcription 
Rv0379	S	secE2	Function unknown 
Rv0380c	J	-	Translation, ribosomal structure and biogenesis 
Rv0382c	F	pyrE	Nucleotide transport and metabolism 
Rv0384c	O	clpB	Posttranslational modification, protein turnover, chaperones 
Rv0385	C	-	Energy production and conversion 
Rv0386	K	-	Transcription 
Rv0386	R	-	General function prediction only 
Rv0386	T	-	Signal transduction mechanisms 
Rv0389	F	purT	Nucleotide transport and metabolism 
Rv0390	P	-	Inorganic ion transport and metabolism 
Rv0391	E	metZ	Amino acid transport and metabolism 
Rv0392c	C	ndhA	Energy production and conversion 
Rv0399c	V	lpqK	Defense mechanisms 
Rv0400c	I	fadE7	Lipid transport and metabolism 
Rv0402c	R	mmpL1	General function prediction only 
Rv0404	Q	fadD30	Secondary metabolites biosynthesis, transport and catabolism 
Rv0405	Q	pks6	Secondary metabolites biosynthesis, transport and catabolism 
Rv0406c	R	-	General function prediction only 
Rv0407	C	fgd1	Energy production and conversion 
Rv0408	C	pta	Energy production and conversion 
Rv0408	R	pta	General function prediction only 
Rv0409	C	ackA	Energy production and conversion 
Rv0410c	L	pknG	Replication, recombination and repair 
Rv0411c	T	glnH	Signal transduction mechanisms 
Rv0413	R	mutT3	General function prediction only 
Rv0414c	H	thiE	Coenzyme transport and metabolism 
Rv0415	E	thiO	Amino acid transport and metabolism 
Rv0416	H	thiS	Coenzyme transport and metabolism 
Rv0417	H	thiG	Coenzyme transport and metabolism 
Rv0418	R	lpqL	General function prediction only 
Rv0419	R	lpqM	General function prediction only 
Rv0421c	R	-	General function prediction only 
Rv0422c	H	thiD	Coenzyme transport and metabolism 
Rv0423c	H	thiC	Coenzyme transport and metabolism 
Rv0425c	P	ctpH	Inorganic ion transport and metabolism 
Rv0427c	L	xthA	Replication, recombination and repair 
Rv0428c	R	-	General function prediction only 
Rv0429c	J	def	Translation, ribosomal structure and biogenesis 
Rv0432	P	sodC	Inorganic ion transport and metabolism 
Rv0433	S	-	Function unknown 
Rv0434	R	-	General function prediction only 
Rv0435c	O	-	Posttranslational modification, protein turnover, chaperones 
Rv0436c	I	pssA	Lipid transport and metabolism 
Rv0437c	I	psd	Lipid transport and metabolism 
Rv0438c	H	moeA2	Coenzyme transport and metabolism 
Rv0439c	R	-	General function prediction only 
Rv0440	O	groEL	Posttranslational modification, protein turnover, chaperones 
Rv0444c	S	-	Function unknown 
Rv0445c	K	sigK	Transcription 
Rv0446c	S	-	Function unknown 
Rv0447c	M	ufaA1	Cell wall/membrane/envelope biogenesis 
Rv0448c	S	-	Function unknown 
Rv0449c	R	-	General function prediction only 
Rv0450c	R	mmpL4	General function prediction only 
Rv0452	K	-	Transcription 
Rv0454	J	-	Translation, ribosomal structure and biogenesis 
Rv0456A	T	-	Signal transduction mechanisms 
Rv0456c	I	echA2	Lipid transport and metabolism 
Rv0457c	E	-	Amino acid transport and metabolism 
Rv0458	C	-	Energy production and conversion 
Rv0459	S	-	Function unknown 
Rv0462	C	lpd	Energy production and conversion 
Rv0464c	S	-	Function unknown 
Rv0465c	K	-	Transcription 
Rv0465c	R	-	General function prediction only 
Rv0466	I	-	Lipid transport and metabolism 
Rv0467	C	icl	Energy production and conversion 
Rv0468	I	fadB2	Lipid transport and metabolism 
Rv0469	M	umaA	Cell wall/membrane/envelope biogenesis 
Rv0470A	H	-	Coenzyme transport and metabolism 
Rv0470c	M	pcaA	Cell wall/membrane/envelope biogenesis 
Rv0472c	K	-	Transcription 
Rv0473	S	-	Function unknown 
Rv0474	K	-	Transcription 
Rv0478	F	deoC	Nucleotide transport and metabolism 
Rv0480c	R	-	General function prediction only 
Rv0482	M	murB	Cell wall/membrane/envelope biogenesis 
Rv0483	S	lprQ	Function unknown 
Rv0484c	R	-	General function prediction only 
Rv0485	G	-	Carbohydrate transport and metabolism 
Rv0486	M	-	Cell wall/membrane/envelope biogenesis 
Rv0488	R	-	General function prediction only 
Rv0489	G	gpm1	Carbohydrate transport and metabolism 
Rv0490	T	senX3	Signal transduction mechanisms 
Rv0491	K	regX3	Transcription 
Rv0492c	E	-	Amino acid transport and metabolism 
Rv0494	K	-	Transcription 
Rv0496	P	-	Inorganic ion transport and metabolism 
Rv0498	G	-	Carbohydrate transport and metabolism 
Rv0499	C	-	Energy production and conversion 
Rv0500	E	proC	Amino acid transport and metabolism 
Rv0500A	P	-	Inorganic ion transport and metabolism 
Rv0501	G	galE2	Carbohydrate transport and metabolism 
Rv0502	I	-	Lipid transport and metabolism 
Rv0503c	M	cmaA2	Cell wall/membrane/envelope biogenesis 
Rv0505c	E	serB1	Amino acid transport and metabolism 
Rv0507	R	mmpL2	General function prediction only 
Rv0508	C	-	Energy production and conversion 
Rv0509	H	hemA	Coenzyme transport and metabolism 
Rv0510	H	hemC	Coenzyme transport and metabolism 
Rv0511	H	hemD	Coenzyme transport and metabolism 
Rv0512	H	hemB	Coenzyme transport and metabolism 
Rv0516c	T	-	Signal transduction mechanisms 
Rv0517	I	-	Lipid transport and metabolism 
Rv0518	O	-	Posttranslational modification, protein turnover, chaperones 
Rv0519c	R	-	General function prediction only 
Rv0520	R	-	General function prediction only 
Rv0522	E	gabP	Amino acid transport and metabolism 
Rv0524	H	hemL	Coenzyme transport and metabolism 
Rv0525	G	-	Carbohydrate transport and metabolism 
Rv0526	C	-	Energy production and conversion 
Rv0527	O	ccdA	Posttranslational modification, protein turnover, chaperones 
Rv0528	O	-	Posttranslational modification, protein turnover, chaperones 
Rv0529	O	ccsA	Posttranslational modification, protein turnover, chaperones 
Rv0530	D	-	Cell cycle control, cell division, chromosome partitioning 
Rv0533c	I	fabH	Lipid transport and metabolism 
Rv0534c	H	menA	Coenzyme transport and metabolism 
Rv0535	F	pnp	Nucleotide transport and metabolism 
Rv0536	G	galE3	Carbohydrate transport and metabolism 
Rv0539	M	-	Cell wall/membrane/envelope biogenesis 
Rv0540	S	-	Function unknown 
Rv0542c	Q	menE	Secondary metabolites biosynthesis, transport and catabolism 
Rv0545c	P	pitA	Inorganic ion transport and metabolism 
Rv0546c	E	-	Amino acid transport and metabolism 
Rv0547c	R	-	General function prediction only 
Rv0548c	H	menB	Coenzyme transport and metabolism 
Rv0549c	R	-	General function prediction only 
Rv0550c	R	-	General function prediction only 
Rv0551c	Q	fadD8	Secondary metabolites biosynthesis, transport and catabolism 
Rv0552	R	-	General function prediction only 
Rv0553	R	menC	General function prediction only 
Rv0554	R	bpoC	General function prediction only 
Rv0555	H	menD	Coenzyme transport and metabolism 
Rv0557	M	pimB	Cell wall/membrane/envelope biogenesis 
Rv0558	H	ubiE	Coenzyme transport and metabolism 
Rv0560c	R	-	General function prediction only 
Rv0561c	C	-	Energy production and conversion 
Rv0562	H	grcC1	Coenzyme transport and metabolism 
Rv0563	O	htpX	Posttranslational modification, protein turnover, chaperones 
Rv0564c	C	gpsA	Energy production and conversion 
Rv0565c	P	-	Inorganic ion transport and metabolism 
Rv0566c	S	-	Function unknown 
Rv0567	R	-	General function prediction only 
Rv0568	Q	cyp135B1	Secondary metabolites biosynthesis, transport and catabolism 
Rv0570	F	nrdZ	Nucleotide transport and metabolism 
Rv0571c	I	-	Lipid transport and metabolism 
Rv0571c	R	-	General function prediction only 
Rv0573c	H	-	Coenzyme transport and metabolism 
Rv0574c	M	-	Cell wall/membrane/envelope biogenesis 
Rv0575c	C	-	Energy production and conversion 
Rv0576	K	-	Transcription 
Rv0576	S	-	Function unknown 
Rv0577	R	TB27.3	General function prediction only 
Rv0579	S	-	Function unknown 
Rv0582	R	-	General function prediction only 
Rv0584	G	-	Carbohydrate transport and metabolism 
Rv0585c	S	-	Function unknown 
Rv0585c	T	-	Signal transduction mechanisms 
Rv0586	K	-	Transcription 
Rv0587	Q	yrbE2A	Secondary metabolites biosynthesis, transport and catabolism 
Rv0588	Q	yrbE2B	Secondary metabolites biosynthesis, transport and catabolism 
Rv0589	Q	mce2A	Secondary metabolites biosynthesis, transport and catabolism 
Rv0590	Q	mce2B	Secondary metabolites biosynthesis, transport and catabolism 
Rv0591	Q	mce2C	Secondary metabolites biosynthesis, transport and catabolism 
Rv0592	Q	mce2D	Secondary metabolites biosynthesis, transport and catabolism 
Rv0593	Q	lprL	Secondary metabolites biosynthesis, transport and catabolism 
Rv0594	Q	mce2F	Secondary metabolites biosynthesis, transport and catabolism 
Rv0595c	R	-	General function prediction only 
Rv0596c	D	-	Cell cycle control, cell division, chromosome partitioning 
Rv0597c	R	-	General function prediction only 
Rv0599c	K	-	Transcription 
Rv0600c	T	-	Signal transduction mechanisms 
Rv0601c	T	-	Signal transduction mechanisms 
Rv0602c	K	tcrA	Transcription 
Rv0605	L	-	Replication, recombination and repair 
Rv0606	L	-	Replication, recombination and repair 
Rv0608	S	-	Function unknown 
Rv0609	S	-	Function unknown 
Rv0613c	U	-	Intracellular trafficking, secretion, and vesicular transport 
Rv0617	R	-	General function prediction only 
Rv0618	C	galTa	Energy production and conversion 
Rv0619	C	galTb	Energy production and conversion 
Rv0620	G	galK	Carbohydrate transport and metabolism 
Rv0621	G	-	Carbohydrate transport and metabolism 
Rv0623	S	-	Function unknown 
Rv0624	S	-	Function unknown 
Rv0625c	S	-	Function unknown 
Rv0626	D	-	Cell cycle control, cell division, chromosome partitioning 
Rv0627	R	-	General function prediction only 
Rv0628c	S	-	Function unknown 
Rv0629c	L	recD	Replication, recombination and repair 
Rv0630c	L	recB	Replication, recombination and repair 
Rv0631c	L	recC	Replication, recombination and repair 
Rv0632c	I	echA3	Lipid transport and metabolism 
Rv0634B	J	rpmG	Translation, ribosomal structure and biogenesis 
Rv0634c	R	-	General function prediction only 
Rv0636	I	-	Lipid transport and metabolism 
Rv0638	U	secE	Intracellular trafficking, secretion, and vesicular transport 
Rv0639	K	nusG	Transcription 
Rv0640	J	rplK	Translation, ribosomal structure and biogenesis 
Rv0641	J	rplA	Translation, ribosomal structure and biogenesis 
Rv0642c	M	mmaA4	Cell wall/membrane/envelope biogenesis 
Rv0643c	M	mmaA3	Cell wall/membrane/envelope biogenesis 
Rv0644c	M	mmaA2	Cell wall/membrane/envelope biogenesis 
Rv0645c	M	mmaA1	Cell wall/membrane/envelope biogenesis 
Rv0646c	R	lipG	General function prediction only 
Rv0647c	R	-	General function prediction only 
Rv0648	G	-	Carbohydrate transport and metabolism 
Rv0650	G	-	Carbohydrate transport and metabolism 
Rv0651	J	rplJ	Translation, ribosomal structure and biogenesis 
Rv0652	J	rplL	Translation, ribosomal structure and biogenesis 
Rv0653c	K	-	Transcription 
Rv0654	Q	-	Secondary metabolites biosynthesis, transport and catabolism 
Rv0655	Q	mkl	Secondary metabolites biosynthesis, transport and catabolism 
Rv0657c	K	-	Transcription 
Rv0658c	R	-	General function prediction only 
Rv0659c	T	-	Signal transduction mechanisms 
Rv0663	P	atsD	Inorganic ion transport and metabolism 
Rv0667	K	rpoB	Transcription 
Rv0668	K	rpoC	Transcription 
Rv0670	L	end	Replication, recombination and repair 
Rv0671	Q	lpqP	Secondary metabolites biosynthesis, transport and catabolism 
Rv0672	I	fadE8	Lipid transport and metabolism 
Rv0673	I	echA4	Lipid transport and metabolism 
Rv0674	K	-	Transcription 
Rv0675	I	echA5	Lipid transport and metabolism 
Rv0676c	R	mmpL5	General function prediction only 
Rv0677c	O	mmpS5	Posttranslational modification, protein turnover, chaperones 
Rv0681	K	-	Transcription 
Rv0682	J	rpsL	Translation, ribosomal structure and biogenesis 
Rv0683	J	rpsG	Translation, ribosomal structure and biogenesis 
Rv0684	J	fusA1	Translation, ribosomal structure and biogenesis 
Rv0685	J	tuf	Translation, ribosomal structure and biogenesis 
Rv0687	R	fabG	General function prediction only 
Rv0688	R	-	General function prediction only 
Rv0690c	S	-	Function unknown 
Rv0691c	K	-	Transcription 
Rv0693	R	pqqE	General function prediction only 
Rv0694	C	lldD1	Energy production and conversion 
Rv0695	R	-	General function prediction only 
Rv0696	M	-	Cell wall/membrane/envelope biogenesis 
Rv0697	E	-	Amino acid transport and metabolism 
Rv0700	J	rpsJ	Translation, ribosomal structure and biogenesis 
Rv0701	J	rplC	Translation, ribosomal structure and biogenesis 
Rv0702	J	rplD	Translation, ribosomal structure and biogenesis 
Rv0703	J	rplW	Translation, ribosomal structure and biogenesis 
Rv0704	J	rplB	Translation, ribosomal structure and biogenesis 
Rv0705	J	rpsS	Translation, ribosomal structure and biogenesis 
Rv0706	J	rplV	Translation, ribosomal structure and biogenesis 
Rv0707	J	rpsC	Translation, ribosomal structure and biogenesis 
Rv0708	J	rplP	Translation, ribosomal structure and biogenesis 
Rv0709	J	rpmC	Translation, ribosomal structure and biogenesis 
Rv0710	J	rpsQ	Translation, ribosomal structure and biogenesis 
Rv0711	P	atsA	Inorganic ion transport and metabolism 
Rv0712	S	-	Function unknown 
Rv0714	J	rplN	Translation, ribosomal structure and biogenesis 
Rv0715	J	rplX	Translation, ribosomal structure and biogenesis 
Rv0716	J	rplE	Translation, ribosomal structure and biogenesis 
Rv0717	J	rpsN	Translation, ribosomal structure and biogenesis 
Rv0718	J	rpsH	Translation, ribosomal structure and biogenesis 
Rv0719	J	rplF	Translation, ribosomal structure and biogenesis 
Rv0720	J	rplR	Translation, ribosomal structure and biogenesis 
Rv0721	J	rpsE	Translation, ribosomal structure and biogenesis 
Rv0722	J	rpmD	Translation, ribosomal structure and biogenesis 
Rv0723	J	rplO	Translation, ribosomal structure and biogenesis 
Rv0724	U	sppA	Intracellular trafficking, secretion, and vesicular transport 
Rv0725c	Q	-	Secondary metabolites biosynthesis, transport and catabolism 
Rv0726c	Q	-	Secondary metabolites biosynthesis, transport and catabolism 
Rv0727c	G	fucA	Carbohydrate transport and metabolism 
Rv0728c	E	serA2	Amino acid transport and metabolism 
Rv0729	G	xylB	Carbohydrate transport and metabolism 
Rv0731c	Q	-	Secondary metabolites biosynthesis, transport and catabolism 
Rv0732	U	secY	Intracellular trafficking, secretion, and vesicular transport 
Rv0733	F	adk	Nucleotide transport and metabolism 
