#Gumbel
#Command used:	python transit.py
#FDR Corrected thresholds: 0.989800, 0.038400
#MH Acceptance-Rate:	45.72%
#Total Iterations Performed:	10499
#Sample Size:	10000
#phi estimate:	0.280561
#Time: 143.290342808
#Orf	Name	Desc	k	n	r	s	zbar	Call
Rv0060	-	hypothetical protein Rv0060 	0	21	21	893	1.000000	E
Rv0061	-	hypothetical protein Rv0061 	3	6	2	10	0.000000	NE
Rv0062	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 	18	19	1	2	0.000000	NE
Rv0063	-	POSSIBLE OXIDOREDUCTASE 	17	21	3	22	0.000000	NE
Rv0064	-	hypothetical protein Rv0064 	36	64	3	147	0.000000	NE
Rv0065	-	hypothetical protein Rv0065 	4	7	1	2	0.000000	NE
Rv0066c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE 	1	33	22	1601	1.000000	E
Rv0067c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	3	11	5	327	0.837400	U
Rv0068	-	short chain dehydrogenase 	8	11	1	2	0.000000	NE
Rv0069c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 	6	11	2	99	0.000000	NE
Rv0070c	glyA2	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 	10	16	2	89	0.000000	NE
Rv0071	-	POSSIBLE MATURASE 	5	8	3	36	0.000000	NE
Rv0072	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	13	16	2	36	0.000000	NE
Rv0073	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	12	13	1	2	0.000000	NE
Rv0074	-	hypothetical protein Rv0074 	8	14	2	100	0.000000	NE
Rv0075	-	PROBABLE AMINOTRANSFERASE 	17	22	1	2	0.000000	NE
Rv0076c	-	PROBABLE MEMBRANE PROTEIN 	3	3	0	0	-1.000000	S
Rv0077c	-	PROBABLE OXIDOREDUCTASE 	7	11	3	197	0.000000	NE
Rv0078	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	2	7	2	91	0.000000	NE
Rv0078A	-	hypothetical protein Rv0078A 	8	9	1	2	0.000000	NE
Rv0079	-	hypothetical protein Rv0079 	10	13	1	2	0.000000	NE
Rv0080	-	hypothetical protein Rv0080 	2	3	1	2	-1.000000	S
Rv0081	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	4	5	1	2	0.000000	NE
Rv0082	-	PROBABLE OXIDOREDUCTASE 	4	7	3	35	0.000000	NE
Rv0083	-	PROBABLE OXIDOREDUCTASE 	15	20	3	77	0.000000	NE
Rv0084	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 	6	7	1	2	0.000000	NE
Rv0085	hycP	POSSIBLE HYDROGENASE HYCP 	1	3	2	171	0.000000	NE
Rv0086	hycQ	POSSIBLE HYDROGENASE HYCQ 	8	14	1	2	0.000000	NE
Rv0087	hycE	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 	7	22	6	231	0.001500	NE
Rv0088	-	hypothetical protein Rv0088 	3	11	7	238	0.063500	U
Rv0089	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 	7	9	1	2	0.000000	NE
Rv0090	-	POSSIBLE MEMBRANE PROTEIN 	8	12	1	2	0.000000	NE
Rv0091	mtn	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 	8	11	2	56	0.000000	NE
Rv0092	ctpA	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 	21	27	3	140	0.000000	NE
Rv0093c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	4	7	1	2	0.000000	NE
Rv0094c	-	hypothetical protein Rv0094c 	0	0	0	0	-1.000000	S
Rv0095c	-	hypothetical protein Rv0095c 	1	6	5	227	0.976900	U
Rv0096	PPE1	PPE FAMILY PROTEIN 	19	30	3	106	0.000000	NE
Rv0097	-	POSSIBLE OXIDOREDUCTASE 	14	24	2	8	0.000000	NE
Rv0098	-	hypothetical protein Rv0098 	7	10	1	2	0.000000	NE
Rv0099	fadD10	acyl-CoA synthetase 	11	30	7	416	0.796000	U
Rv0100	-	hypothetical protein Rv0100 	2	3	1	2	-1.000000	S
Rv0101	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 	59	103	5	362	0.017600	NE
Rv0102	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	0	38	38	1711	1.000000	E
Rv0103c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 	24	28	2	12	0.000000	NE
Rv0104	-	hypothetical protein Rv0104 	18	25	3	52	0.000000	NE
Rv0105c	rpmB	50S ribosomal protein L28 	3	5	1	2	-1.000000	S
Rv0106	-	hypothetical protein Rv0106 	8	10	1	2	0.000000	NE
Rv0107c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 	29	59	9	287	0.414100	U
Rv0108c	-	hypothetical protein Rv0108c 	2	2	0	0	-1.000000	S
Rv0109	PE_PGRS1	PE-PGRS FAMILY PROTEIN 	11	25	3	92	0.000000	NE
Rv0110	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	11	13	1	2	0.000000	NE
Rv0111	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 	28	40	2	63	0.000000	NE
Rv0112	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 	7	29	7	135	0.000000	NE
Rv0113	gmhA	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 	3	12	4	167	0.000000	NE
Rv0114	gmhB	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 	7	9	1	2	0.000000	NE
Rv0115	hddA	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 	16	17	1	2	0.000000	NE
Rv0116c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	14	15	1	2	0.000000	NE
Rv0117	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 	8	16	4	170	0.000000	NE
Rv0118c	oxcA	putative oxalyl-CoA decarboxylase 	11	25	8	483	0.931000	U
Rv0119	fadD7	acyl-CoA synthetase 	1	13	9	469	0.993800	E
Rv0120c	fusA2	elongation factor G 	11	25	6	354	0.460900	U
Rv0121c	-	hypothetical protein Rv0121c 	6	10	3	39	0.000000	NE
Rv0122	-	hypothetical protein Rv0122 	4	9	3	13	0.000000	NE
Rv0123	-	hypothetical protein Rv0123 	0	7	7	303	0.999100	E
Rv0124	PE_PGRS2	PE-PGRS FAMILY PROTEIN 	7	11	2	101	0.000000	NE
Rv0125	pepA	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 	8	9	1	2	0.000000	NE
Rv0126	treS	TREHALOSE SYNTHASE TRES 	7	29	9	357	0.957700	U
Rv0127	-	hypothetical protein Rv0127 	0	28	28	1189	1.000000	E
Rv0128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	16	17	1	2	0.000000	NE
Rv0129c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 	10	27	6	102	0.000000	NE
Rv0130	-	hypothetical protein Rv0130 	3	3	0	0	-1.000000	S
Rv0131c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 	15	17	1	2	0.000000	NE
Rv0132c	fgd2	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 	10	14	1	2	0.000000	NE
Rv0133	-	PROBABLE ACETYLTRANSFERASE 	6	6	0	0	0.000000	NE
Rv0134	ephF	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 	10	11	1	2	0.000000	NE
Rv0135c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	6	11	2	46	0.000000	NE
Rv0136	cyp138	PROBABLE CYTOCHROME P450 138 CYP138 	18	22	1	2	0.000000	NE
Rv0137c	msrA	methionine sulfoxide reductase A 	8	11	1	2	0.000000	NE
Rv0138	-	hypothetical protein Rv0138 	6	6	0	0	0.000000	NE
Rv0139	-	POSSIBLE OXIDOREDUCTASE 	11	12	1	2	0.000000	NE
Rv0140	-	hypothetical protein Rv0140 	9	14	3	41	0.000000	NE
Rv0141c	-	hypothetical protein Rv0141c 	5	8	2	106	0.000000	NE
Rv0142	-	hypothetical protein Rv0142 	4	5	1	2	0.000000	NE
Rv0143c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	18	25	2	22	0.000000	NE
Rv0144	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	12	14	1	2	0.000000	NE
Rv0145	-	hypothetical protein Rv0145 	11	14	1	2	0.000000	NE
Rv0146	-	hypothetical protein Rv0146 	12	15	1	2	0.000000	NE
Rv0147	-	PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDENT 	21	23	1	2	0.000000	NE
Rv0148	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	14	15	1	2	0.000000	NE
Rv0149	-	POSSIBLE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN) 	12	19	5	163	0.000000	NE
Rv0150c	-	hypothetical protein Rv0150c 	3	4	1	2	0.000000	NE
Rv0151c	PE1	PE FAMILY PROTEIN 	34	40	2	41	0.000000	NE
Rv0152c	PE2	PE FAMILY PROTEIN 	30	35	1	2	0.000000	NE
Rv0153c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) 	5	11	3	103	0.000000	NE
Rv0154c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2 	7	11	3	336	0.119900	U
Rv0155	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAA 	6	10	2	12	0.000000	NE
Rv0156	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAB 	0	0	0	0	-1.000000	S
Rv0157	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB 	6	10	2	83	0.000000	NE
Rv0158	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	13	15	1	2	0.000000	NE
Rv0159c	PE3	PE FAMILY PROTEIN 	41	48	2	17	0.000000	NE
Rv0160c	PE4	PE FAMILY PROTEIN 	33	41	2	22	0.000000	NE
Rv0161	-	POSSIBLE OXIDOREDUCTASE 	7	16	2	45	0.000000	NE
Rv0162c	adhE1	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE 	8	15	2	210	0.000000	NE
Rv0163	-	hypothetical protein Rv0163 	9	9	0	0	0.000000	NE
Rv0164	TB18.5	hypothetical protein Rv0164 	1	8	7	141	0.229300	U
Rv0165c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	5	6	1	2	0.000000	NE
Rv0166	fadD5	acyl-CoA synthetase 	18	23	2	102	0.000000	NE
Rv0167	yrbE1A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1A 	5	6	1	2	0.000000	NE
Rv0168	yrbE1B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1B 	12	13	1	2	0.000000	NE
Rv0169	mce1A	MCE-FAMILY PROTEIN MCE1A 	27	33	2	38	0.000000	NE
Rv0170	mce1B	MCE-FAMILY PROTEIN MCE1B 	12	16	2	19	0.000000	NE
Rv0171	mce1C	MCE-FAMILY PROTEIN MCE1C 	20	23	1	2	0.000000	NE
Rv0172	mce1D	MCE-FAMILY PROTEIN MCE1D 	25	31	1	2	0.000000	NE
Rv0173	lprK	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRK (MCE-FAMILY LIPOPROTEIN MCE1E) 	10	15	2	87	0.000000	NE
Rv0174	mce1F	MCE-FAMILY PROTEIN MCE1F 	22	28	2	10	0.000000	NE
Rv0175	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	7	9	1	2	0.000000	NE
Rv0176	-	PROBABLE CONSERVED MCE ASSOCIATED TRANSMEMBRANE PROTEIN 	12	15	1	2	0.000000	NE
Rv0177	-	PROBABLE CONSERVED MCE ASSOCIATED PROTEIN 	8	11	1	2	0.000000	NE
Rv0178	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	8	11	1	2	0.000000	NE
Rv0179c	lprO	POSSIBLE LIPOPROTEIN LPRO 	17	22	2	13	0.000000	NE
Rv0180c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	16	27	2	45	0.000000	NE
Rv0181c	-	hypothetical protein Rv0181c 	10	14	1	2	0.000000	NE
Rv0182c	sigG	RNA polymerase factor sigma-70 	17	19	1	2	0.000000	NE
Rv0183	-	POSSIBLE LYSOPHOSPHOLIPASE 	13	14	1	2	0.000000	NE
Rv0184	-	hypothetical protein Rv0184 	6	11	2	16	0.000000	NE
Rv0185	-	hypothetical protein Rv0185 	3	9	3	79	0.000000	NE
Rv0186	bglS	PROBABLE BETA-GLUCOSIDASE BGLS (GENTIOBIASE) (CELLOBIASE) (BETA-D-GLUCOSIDE GLUCOHYDROLASE) 	16	32	7	416	0.694100	U
Rv0187	-	PROBABLE O-METHYLTRANSFERASE 	4	7	3	199	0.000000	NE
Rv0188	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	6	8	1	2	0.000000	NE
Rv0189c	ilvD	dihydroxy-acid dehydratase 	0	18	18	1197	1.000000	E
Rv0190	-	hypothetical protein Rv0190 	3	3	0	0	-1.000000	S
Rv0191	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	15	17	1	2	0.000000	NE
Rv0192	-	hypothetical protein Rv0192 	11	11	0	0	0.000000	NE
Rv0192A	-	CONSERVED SECRETED PROTEIN 	2	2	0	0	-1.000000	S
Rv0193c	-	hypothetical protein Rv0193c 	27	32	2	86	0.000000	NE
Rv0194	-	PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER 	40	48	1	2	0.000000	NE
Rv0195	-	POSSIBLE TWO COMPONENT TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY LUXR-FAMILY) 	6	6	0	0	0.000000	NE
Rv0196	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	7	7	0	0	0.000000	NE
Rv0197	-	POSSIBLE OXIDOREDUCTASE 	16	31	3	218	0.000000	NE
Rv0198c	-	PROBABLE ZINC METALLOPROTEASE 	18	39	8	195	0.000100	NE
Rv0199	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	7	12	2	23	0.000000	NE
Rv0200	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	2	7	3	94	0.000000	NE
Rv0201c	-	hypothetical protein Rv0201c 	7	7	0	0	0.000000	NE
Rv0202c	mmpL11	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL11 	18	36	4	394	0.048400	U
Rv0203	-	POSSIBLE EXPORTED PROTEIN 	3	3	0	0	0.000000	NE
Rv0204c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	7	19	9	327	0.985800	U
Rv0205	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	7	12	2	27	0.000000	NE
Rv0206c	mmpL3	POSSIBLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL3 	1	27	26	1974	1.000000	E
Rv0207c	-	hypothetical protein Rv0207c 	6	9	2	135	0.000000	NE
Rv0208c	trmB	tRNA (guanine-N(7))-methyltransferase 	2	10	4	153	0.000000	NE
Rv0209	-	hypothetical protein Rv0209 	11	14	1	2	0.000000	NE
Rv0210	-	hypothetical protein Rv0210 	8	12	2	36	0.000000	NE
Rv0211	pckA	phosphoenolpyruvate carboxykinase 	0	22	22	1529	1.000000	E
Rv0212c	nadR	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN NADR (PROBABLY ASNC-FAMILY) 	6	6	0	0	0.000000	NE
Rv0213c	-	POSSIBLE METHYLTRANSFERASE (METHYLASE) 	25	30	1	2	0.000000	NE
Rv0214	fadD4	acyl-CoA synthetase 	23	31	2	22	0.000000	NE
Rv0215c	fadE3	PROBABLE ACYL-CoA DEHYDROGENASE FADE3 	10	14	1	2	0.000000	NE
Rv0216	-	hypothetical protein Rv0216 	10	19	4	62	0.000000	NE
Rv0217c	lipW	POSSIBLE ESTERASE LIPW 	13	19	2	43	0.000000	NE
Rv0218	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	14	18	2	24	0.000000	NE
Rv0219	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	7	11	1	2	0.000000	NE
Rv0220	lipC	PROBABLE ESTERASE LIPC 	11	22	5	76	0.000000	NE
Rv0221	-	hypothetical protein Rv0221 	17	25	2	38	0.000000	NE
Rv0222	echA1	enoyl-CoA hydratase 	4	8	2	234	0.000200	NE
Rv0223c	-	PROBABLE ALDEHYDE DEHYDROGENASE 	11	22	5	125	0.000000	NE
Rv0224c	-	POSSIBLE METHYLTRANSFERASE (METHYLASE) 	0	14	14	605	1.000000	E
Rv0225	-	POSSIBLE CONSERVED PROTEIN 	0	20	20	988	1.000000	E
Rv0226c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	0	23	23	1445	1.000000	E
Rv0227c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	0	21	21	1007	1.000000	E
Rv0228	-	PROBABLE INTEGRAL MEMBRANE ACYLTRANSFERASE 	0	13	13	936	1.000000	E
Rv0229c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	8	16	4	65	0.000000	NE
Rv0230c	php	PROBABLE PHOSPHOTRIESTERASE PHP (PARATHION HYDROLASE) (PTE) (ARYLDIALKYLPHOSPHATASE) (PARAOXONASE) (A-ESTERASE) (ARYLTRIPHOSPHATASE) (PARAOXON HYDROLASE) 	11	13	2	36	0.000000	NE
Rv0231	fadE4	PROBABLE ACYL-CoA DEHYDROGENASE FADE4 	30	33	1	2	0.000000	NE
Rv0232	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR/ACRR-FAMILY) 	9	9	0	0	0.000000	NE
Rv0233	nrdB	ribonucleotide-diphosphate reductase subunit beta 	11	11	0	0	0.000000	NE
Rv0234c	gabD1	succinic semialdehyde dehydrogenase 	10	19	2	31	0.000000	NE
Rv0235c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	11	22	8	291	0.804800	U
Rv0236A	-	SMALL SECRETED PROTEIN 	0	2	2	7	-1.000000	S
Rv0236c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	0	34	34	3658	1.000000	E
Rv0237	lpqI	PROBABLE CONSERVED LIPOPROTEIN LPQI 	5	12	2	17	0.000000	NE
Rv0238	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY) 	1	11	5	220	0.001800	NE
Rv0239	-	hypothetical protein Rv0239 	2	2	0	0	-1.000000	S
Rv0240	-	hypothetical protein Rv0240 	5	6	1	2	0.000000	NE
Rv0241c	-	hypothetical protein Rv0241c 	3	13	4	152	0.000000	NE
Rv0242c	fabG	3-ketoacyl-(acyl-carrier-protein) reductase 	3	11	4	728	0.494500	U
Rv0243	fadA2	acetyl-CoA acetyltransferase 	11	18	2	33	0.000000	NE
Rv0244c	fadE5	PROBABLE ACYL-CoA DEHYDROGENASE FADE5 	17	21	1	2	0.000000	NE
Rv0245	-	POSSIBLE OXIDOREDUCTASE 	4	4	0	0	0.000000	NE
Rv0246	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	19	29	4	51	0.000000	NE
Rv0247c	-	fumarate reductase iron-sulfur subunit 	0	9	9	589	0.998800	E
