Significant Interactions	Orf	Gene	Nobs	intercept	coefficient sgRNA_strength	coefficient concentration dependence	pval intercept	pval sgRNA_strength	pval concentration dependence	qval concentration dependence	Z score of concentration dependence
-1	RVBD1388	mihF	5	-1.028094	0.024249	-0.1365	0.0	2e-06	0.0	0.0	-28.219084
0	RVBD2078	RVBD2078	5	1.174387	-0.234898	0.049635	0.0	0.131937	0.077039	0.126901	10.244611
-1	RVBD0957	purH	107	0.643645	0.099701	-0.089246	0.0	0.0	0.0	0.0	-18.454325
0	RVBD1528c	papA4	8	0.859217	0.200143	0.000416	0.0	0.002463	0.983132	0.986354	0.073796
0	RVBD2685	arsB1	13	0.792364	0.197286	-0.019333	0.0	0.0	0.387849	0.487557	-4.007218
0	RVBD3743c	ctpJ	10	1.205143	0.340146	0.036305	0.0	0.0	0.099475	0.157252	7.490045
1	RVBD1286	cysN	164	1.331871	0.276419	0.0892	0.0	0.0	0.0	0.0	18.420484
0	RVBD0814c	sseC2	7	0.567653	0.214195	-0.039067	1e-06	0.0	0.152643	0.224272	-8.085132
0	RVBD2250c	RVBD2250c	6	1.017961	0.570898	-0.006795	0.0	3.2e-05	0.75701	0.818187	-1.416314
1	RVBD2053c	fxsA	6	1.671794	0.305222	0.161709	0.0	4.1e-05	0.0	0.0	33.404039
-1	RVBD1011	ispE	92	0.697567	0.119559	-0.062609	0.0	0.0	0.0	0.0	-12.949946
0	RVBD3515c	fadD19	14	0.750939	0.218003	-0.033787	0.0	0.0	0.030304	0.056379	-6.994051
0	RVBD3243c	RVBD3243c	7	0.744369	-0.18254	0.02877	0.0	0.01538	0.177562	0.253956	5.932982
0	RVBD1958c	RVBD1958c	7	1.185373	0.341957	0.040827	0.0	0.0	0.043836	0.078263	8.42449
1	RVBD0781	ptrBa	6	1.196706	0.141351	0.058059	0.0	0.013785	0.01125	0.023605	11.985381
1	RVBD1018c	glmU	88	1.122169	0.113506	0.03077	0.0	0.0	0.007017	0.015521	6.34627
1	RVBD2070c	cobK	6	1.194577	0.214017	0.068251	0.0	0.00064	0.003998	0.009361	14.091497
-1	RVBD1166	lpqW	159	-0.829157	0.092196	-0.374561	0.0	0.0	0.0	0.0	-77.412978
-1	RVBD2290	lppO	7	0.87507	0.416077	-0.043929	0.0	0.0	0.012596	0.026018	-9.089835
0	RVBD1645c	RVBD1645c	12	1.140772	0.356994	0.033175	0.0	0.0192	0.145566	0.215679	6.843249
1	RVBD0655	mkl	10	0.807719	0.185449	0.043166	0.0	0.0	0.001232	0.003295	8.90783
-1	RVBD1015c	rplY	47	0.577961	0.134208	-0.057242	0.0	0.0	2.4e-05	8.7e-05	-11.840888
0	RVBD1446c	opcA	5	0.936021	-0.430341	0.052166	7e-06	0.083456	0.299178	0.393225	10.767627
1	RVBD0339c	RVBD0339c	17	1.142534	0.253512	0.047538	0.0	0.0	0.000571	0.001636	9.811278
0	RVBD2166c	RVBD2166c	6	-1.190507	0.007923	-0.009439	0.0	0.012579	0.69015	0.763285	-1.962681
1	RVBD1865c	RVBD1865c	6	1.529787	0.985984	0.068136	0.0	0.0	0.000256	0.000791	14.067733
0	RVBD3340	metC	10	0.504573	0.102427	0.072477	0.009346	0.0	0.125832	0.19121	14.964775
0	RVBD3517	RVBD3517	6	0.958203	-0.237517	0.016064	0.0	0.078152	0.390628	0.49044	3.307363
0	RVBD1214c	PE14	5	0.949547	0.163636	0.034811	0.0	0.092878	0.095644	0.152089	7.181319
-1	RVBD1010	ksgA	9	-0.264984	0.125015	-0.216167	0.002203	0.0	0.0	0.0	-44.681797
-1	RVBD0206c	mmpL3	292	-0.871956	0.07118	-0.268523	0.0	0.0	0.0	0.0	-55.500854
0	RVBD1243c	PE-PGRS23	6	0.968311	0.210144	0.034878	0.0	0.004254	0.037622	0.068233	7.195164
-1	RVBD3249c	RVBD3249c	5	0.650662	0.19924	-0.040669	0.0	8.2e-05	0.0126	0.026018	-8.416175
0	RVBD0713	RVBD0713	7	0.834488	0.221196	-0.032847	0.0	0.0	0.155757	0.227688	-6.799806
1	RVBD2474c	RVBD2474c	6	1.432164	0.322286	0.113612	0.0	0.020737	0.0	0.0	23.465079
0	RVBD3059	cyp136	18	1.106582	0.530239	-0.00084	0.0	0.0	0.952038	0.965181	-0.185749
0	RVBD0110	RVBD0110	5	1.451961	0.386878	0.070743	0.0	0.0	0.122503	0.187349	14.606454
0	RVBD0036c	RVBD0036c	6	1.118319	0.439728	0.020711	0.0	0.0	0.223315	0.308464	4.267638
0	RVBD2591	PE-PGRS44	7	0.889665	-0.001417	0.025681	0.0	0.988291	0.47599	0.576123	5.294659
0	RVBD0825c	RVBD0825c	6	0.397565	-0.148806	-0.028482	0.016413	0.214615	0.292899	0.385851	-5.897804
0	RVBD2812	RVBD2812	14	0.834104	0.254753	-0.008087	0.0	0.0	0.659314	0.739098	-1.683298
0	RVBD3312c	RVBD3312c	12	0.845965	0.23987	-0.030157	0.0	0.0	0.095495	0.151912	-6.243933
1	RVBD3536c	hsaE	5	1.081262	-0.982741	0.05147	0.0	0.012502	0.012844	0.026481	10.623803
-1	RVBD3593	lpqF	15	-0.632499	0.164889	-0.274674	0.0	0.0	0.0	0.0	-56.771922
0	RVBD3898c	RVBD3898c	5	0.765901	0.15256	-0.050548	2e-05	0.0	0.239755	0.326903	-10.457612
0	RVBD3862c	whiB6	5	0.916474	0.211091	0.017468	0.0	1e-05	0.551008	0.644618	3.597491
1	RVBD0489	gpm1	5	0.706036	0.056177	0.090147	1.6e-05	0.0	0.013497	0.027672	18.616176
0	RVBD0601c	RVBD0601c	5	1.024642	-0.225237	0.06603	0.0	0.081852	0.050305	0.088187	13.63254
1	RVBD1608c	bcpB	8	1.251442	0.69081	0.089651	0.0	4e-06	4.5e-05	0.000157	18.51368
0	RVBD0386	RVBD0386	10	1.120975	0.290789	0.026542	0.0	0.0	0.197698	0.277325	5.472579
0	RVBD2266	cyp124	12	1.053051	0.398678	-0.012044	0.0	0.0	0.53015	0.627388	-2.500989
0	RVBD2790c	ltp1	5	1.03093	0.342949	-0.005395	0.0	0.0	0.85851	0.900187	-1.127012
1	RVBD0580c	RVBD0580c	15	1.25052	0.362353	0.058872	0.0	0.0	0.001673	0.00434	12.153382
1	RVBD2130c	mshC	106	1.44295	0.112791	0.087666	0.0	0.0	0.0	0.0	18.103492
0	RVBD2972c	RVBD2972c	5	0.887638	0.234408	0.000427	0.0	0.0	0.973446	0.979997	0.076069
-1	RVBD0432	sodC	6	0.15258	0.154341	-0.152665	0.146778	0.0	0.0	0.0	-31.559485
1	RVBD3074	RVBD3074	6	1.416003	0.624009	0.072085	0.0	7.8e-05	0.005849	0.013168	14.88377
0	RVBD0849	RVBD0849	23	0.989171	0.17561	0.021384	0.0	0.0	0.165051	0.239282	4.406709
0	RVBD0936	pstA2	10	0.777598	0.165154	-0.010297	0.0	0.0	0.687407	0.760876	-2.139982
0	RVBD1025	RVBD1025	41	0.977343	0.120009	-0.009404	0.0	0.0	0.425367	0.525239	-1.955449
1	RVBD1844c	gnd1	9	1.565415	0.335843	0.121501	0.0	0.011227	4e-06	1.6e-05	25.095294
-1	RVBD1275	lprC	8	-1.056428	-0.608736	-0.430953	0.0	0.000994	0.0	0.0	-89.066051
-1	RVBD1404	RVBD1404	5	0.609828	0.209986	-0.062673	2e-06	0.0	0.02212	0.042686	-12.963172
0	RVBD3479	RVBD3479	34	0.904293	0.364338	-0.012305	0.0	0.0	0.427796	0.527468	-2.554923
0	RVBD3560c	fadE30	10	0.886819	0.27822	0.001769	0.0	0.0	0.936966	0.956383	0.353386
-1	RVBD2358	smtB	8	-1.167313	0.077293	-0.367185	0.0	2.4e-05	0.0	0.0	-75.888772
1	RVBD2680	RVBD2680	6	3.588806	0.347876	0.41747	0.0	1e-06	0.0	0.0	86.255534
-1	RVBD6025	tRNA-Val	9	-0.459553	0.047712	-0.114118	0.000212	0.0	0.0	0.0	-23.593976
0	RVBD2900c	fdhF	14	0.961771	0.217032	-0.006295	0.0	0.0	0.644543	0.728606	-1.312992
0	RVBD3127	RVBD3127	12	1.101444	0.242454	0.034112	0.0	0.020498	0.034186	0.062877	7.036875
0	RVBD1430	PE16	22	0.958561	0.182705	0.003984	0.0	0.0	0.793334	0.845232	0.811102
0	RVBD0663	atsD	16	0.981107	0.212555	0.016294	0.0	0.0	0.174315	0.250464	3.354891
0	RVBD0551c	fadD8	9	1.043367	0.595993	-0.001942	0.0	0.0	0.924268	0.946796	-0.41347
-1	RVBD3026c	RVBD3026c	11	0.763588	0.192721	-0.038968	0.0	0.0	0.013216	0.027151	-8.064674
0	RVBD2955c	RVBD2955c	6	0.7404	0.236965	-0.027919	0.0	0.0	0.101763	0.160221	-5.781464
0	RVBD0160c	PE4	18	1.098149	0.359211	0.031161	0.0	0.0	0.101483	0.159988	6.427068
-1	RVBD1420	uvrC	16	0.583618	0.244618	-0.100794	0.0	0.0	0.0	0.0	-20.84065
1	RVBD1119c	RVBD1119c	3	2.060998	2.124971	0.113215	0.0	0.003916	0.001216	0.003255	23.383041
-1	RVBD1309	atpG	66	-0.705707	0.071599	-0.259539	0.0	0.0	0.0	0.0	-53.644364
1	RVBD0085	hycP	6	1.144151	0.181315	0.040757	0.0	0.0	0.022794	0.043778	8.410025
0	RVBD2761c	hsdS	8	0.635306	-0.147829	-0.02494	2.2e-05	0.170508	0.500101	0.599201	-5.165871
0	RVBD0426c	RVBD0426c	5	0.841213	0.345525	0.004858	0.0	1e-06	0.822416	0.870285	0.991709
0	Negative	Negative14	97	0.560571	-0.140102	0.003361	0.0	0.00016	0.551093	0.644618	0.682363
0	tRNA-Leu3	tRNA-Leu3	13	0.605683	0.113403	-0.031241	0.0	0.0	0.146439	0.216734	-6.467935
0	RVBD1418	lprH	7	1.166391	0.585105	0.023698	0.0	0.0	0.236588	0.323377	4.884884
-1	RVBD1340	rphA	6	-1.218093	0.113578	-0.403787	0.0	0.0	0.0	0.0	-83.452358
1	RVBD1035c	RVBD1035c	5	1.424233	0.453134	0.099069	0.0	0.0	1e-06	4e-06	20.459854
1	RVBD0841	RVBD0841	5	1.407897	0.986129	0.050857	0.0	1.1e-05	0.008678	0.018734	10.49713
1	RVBD3130c	tgs1	9	1.678092	0.365673	0.123483	0.0	0.0	0.0	0.0	25.504862
-1	RVBD1655	argD	95	0.720855	0.121159	-0.022681	0.0	0.0	0.012564	0.02597	-4.699062
0	RVBD0577	TB27.3	7	0.879355	0.242519	-0.009322	0.0	0.0	0.668541	0.745454	-1.938504
1	RVBD1267c	embR	7	1.50734	-0.219164	0.149155	0.0	0.18775	4.7e-05	0.000163	30.809829
0	RVBD2057c	rpmG1	3	0.525764	-0.712513	0.009333	4.6e-05	0.024252	0.668092	0.745215	1.916441
0	RVBD0959	RVBD0959	13	1.078483	0.247613	0.026519	0.0	0.0	0.206525	0.288037	5.467826
-1	RVBD2204c	RVBD2204c	6	0.791654	0.156377	-0.114178	0.0	0.0	0.001934	0.004925	-23.606375
0	RVBD0279c	PE-PGRS4	7	0.98491	0.309458	0.018799	0.0	0.0	0.281461	0.373586	3.872534
0	RVBD0559c	RVBD0559c	5	1.243914	-0.261361	0.05115	0.0	0.318825	0.030476	0.056672	10.557677
0	RVBD2126c	PE-PGRS37	6	1.054181	0.452607	-0.029191	0.0	0.0	0.29411	0.387068	-6.044315
-1	RVBD2244	acpM	22	-0.455664	0.075265	-0.181045	1.3e-05	0.0	0.0	0.0	-37.424044
1	RVBD2679	echA15	7	1.427397	0.16454	0.099114	0.0	0.374045	2e-06	8e-06	20.469153
0	RVBD1914c	RVBD1914c	7	0.923752	0.395913	-0.018859	0.0	1e-05	0.457425	0.556214	-3.909268
0	RVBD3073c	RVBD3073c	5	1.03204	-0.044503	0.025203	0.0	0.746155	0.235208	0.321817	5.195883
1	RVBD0935	pstC1	6	1.461649	0.200057	0.102083	0.0	0.0	0.000237	0.000736	21.082679
0	RVBD1053c	RVBD1053c	5	1.191282	0.823569	0.023666	0.0	0.009661	0.509186	0.608483	4.878271
-1	tRNA-Lys10	tRNA-Lys10	7	-1.383752	-0.009099	-0.058412	0.0	0.177282	0.008568	0.018506	-12.082661
0	RVBD2049c	RVBD2049c	3	0.053076	-0.339339	-0.006487	0.935206	0.454452	0.839159	0.885182	-1.352668
0	RVBD3018Bc	RVBD3018Bc	4	0.903436	0.30565	-0.01161	0.0	2e-06	0.678549	0.753207	-2.411305
-1	RVBD1631	coaE	97	0.64411	0.116858	-0.032444	0.0	0.0	0.000119	0.000386	-6.716528
0	Negative	Negative3	98	0.517624	0.144164	-0.002329	0.0	0.0	0.619048	0.707308	-0.493442
0	RVBD1431	RVBD1431	24	0.934446	0.211419	0.003445	0.0	0.0	0.77657	0.833085	0.699721
0	RVBD1537	dinX	10	1.008154	0.301591	-0.018269	0.0	0.0	0.343119	0.440794	-3.787348
1	RVBD3218	RVBD3218	5	1.552049	-0.59482	0.26507	8.6e-05	4e-06	0.008435	0.018248	54.762977
0	RVBD3684	RVBD3684	10	0.981958	0.343182	-0.009561	0.0	0.0	0.618223	0.706766	-1.987892
0	RVBD1735Ac	RVBD1735Ac	6	1.031576	0.242674	0.02811	0.0	2.2e-05	0.307852	0.401879	5.796597
-1	RVBD2927c	RVBD2927c	43	-0.3352	0.090704	-0.15753	2.9e-05	0.0	0.0	0.0	-32.564809
0	RVBD3342	RVBD3342	6	0.740487	0.801073	-0.097462	0.023827	0.079101	0.176831	0.253359	-20.152112
1	RVBD2193	ctaE	90	1.091364	0.104128	0.061227	0.0	0.0	0.0	0.0	12.640029
0	RVBD1143	mcr	7	0.965086	0.231291	0.014004	0.0	0.0	0.564587	0.657735	2.881676
0	RVBD0064A	vapB1	6	1.252202	0.248741	0.03393	0.0	0.0	0.287393	0.379712	6.999266
1	RVBD0846c	RVBD0846c	8	1.367157	0.386135	0.077489	0.0	0.0	3.7e-05	0.000131	16.000475
-1	RVBD3459c	rpsK	22	0.535299	0.112051	-0.062539	1e-06	0.0	0.022176	0.042774	-12.935481
-1	RVBD1479	moxR1	158	-0.701605	0.08186	-0.334567	0.0	0.0	0.0	0.0	-69.148455
0	RVBD2286c	RVBD2286c	6	1.022155	0.450217	0.008013	0.0	0.0	0.730005	0.796674	1.643671
-1	RVBD3051c	nrdE	182	-7e-05	0.098387	-0.101581	0.998573	0.0	0.0	0.0	-21.003279
0	RVBD2284	lipM	17	0.838018	0.333255	-0.013375	0.0	0.0	0.356871	0.454844	-2.776032
0	RVBD0447c	ufaA1	6	0.730179	0.213311	-0.043489	0.0	0.0	0.045553	0.080874	-8.998912
-1	RVBD1633	uvrB	19	0.316935	0.186475	-0.105593	7.7e-05	0.0	0.0	0.0	-21.832335
-1	RVBD3236c	RVBD3236c	18	0.332501	0.168273	-0.093611	0.0	0.0	0.0	0.0	-19.356326
1	RVBD3299c	atsB	27	1.259331	0.265996	0.055934	0.0	0.0	0.020891	0.040586	11.546262
0	RVBD2886c	RVBD2886c	7	0.737581	-0.045489	-0.002958	0.0	0.509508	0.878359	0.913647	-0.623421
1	RVBD2721c	RVBD2721c	23	5.462308	0.38166	0.832283	0.0	0.0	0.0	0.0	171.974181
0	RVBD0638	secE1	33	0.25009	0.082393	0.001809	0.018854	0.0	0.938219	0.956641	0.361651
0	RVBD2850c	RVBD2850c	8	0.985483	0.197177	0.011492	0.0	0.0	0.563378	0.656705	2.362586
0	RVBD1442	bisC	17	0.97436	0.242108	0.002861	0.0	0.0	0.824796	0.872081	0.579041
0	RVBD6035	tRNA-Cys	4	-0.446079	0.029938	-0.007338	0.022459	0.000252	0.861647	0.902437	-1.528522
0	RVBD3628	ppa	48	1.295623	0.135641	0.009755	0.0	0.0	0.629411	0.716413	2.003645
-1	RVBD1281c	oppD	10	0.318431	0.277083	-0.167939	0.000189	4e-06	0.0	0.0	-34.715767
0	RVBD1875	RVBD1875	6	0.987886	0.271469	0.032752	0.0	0.0	0.152066	0.223506	6.755839
1	RVBD2582	ppiB	67	1.668274	0.651706	0.115621	0.0	0.0	0.0	0.0	23.880227
1	RVBD2737A	RVBD2737A	5	2.028113	1.169238	0.170355	0.0	0.088776	0.000633	0.001794	35.190683
0	RVBD2643	arsC	10	1.138014	0.499472	0.036895	0.0	0.0	0.094412	0.150783	7.611965
1	RVBD3316	sdhC	11	1.644338	0.488843	0.119074	0.0	0.0	0.0	0.0	24.593769
1	RVBD2706c	RVBD2706c	9	1.868646	0.011434	0.208584	0.0	0.883225	0.0	0.0	43.09048
-1	RVBD1384	carB	212	0.137385	0.122115	-0.163103	0.0	0.0	0.0	0.0	-33.716436
-1	RVBD1492	mutA	17	0.67903	0.182957	-0.056479	0.0	0.0	0.00127	0.003384	-11.683218
0	RVBD0513	RVBD0513	7	0.840923	0.186215	0.0	0.0	0.0	0.999991	0.999991	-0.012168
1	RVBD1990A	RVBD1990A	4	0.937805	-1.551515	0.080396	0.0	5.1e-05	0.015763	0.031675	16.601189
0	RVBD0186	bglS	12	0.851046	0.223027	-0.013858	0.0	0.0	0.567311	0.660591	-2.875841
-1	RVBD2785c	rpsO	6	-2.089009	-0.031198	-0.055326	0.0	0.000773	0.012114	0.025168	-11.444958
1	RVBD2031c	hspX	10	1.202642	-0.030818	0.127733	0.0	0.514623	0.006222	0.013915	26.3831
0	RVBD2688c	RVBD2688c	7	1.111924	0.254461	0.011855	0.0	0.0	0.616937	0.705495	2.437598
-1	4.5S	4.5S	9	-0.429275	0.053529	-0.062315	0.001302	0.0	0.008885	0.019129	-12.889193
0	RVBD1949c	RVBD1949c	9	1.147957	0.250054	0.032905	0.0	0.0	0.110351	0.171492	6.787456
0	RVBD3084	lipR	6	0.889776	0.16544	0.002044	0.0	0.066751	0.908541	0.934616	0.410213
0	RVBD0307c	RVBD0307c	5	0.87434	0.332558	-0.055089	0.0	0.0	0.028073	0.052738	-11.395983
0	RVBD3641c	fic	9	0.781631	0.193963	-0.032888	0.0	0.0	0.080756	0.131907	-6.808278
0	RVBD2415c	RVBD2415c	7	1.042858	0.267134	0.02738	0.0	0.0	0.132805	0.199851	5.645747
0	RVBD2802c	RVBD2802c	7	0.952836	0.226541	0.009605	0.0	0.0	0.642355	0.727558	1.972649
0	RVBD0748	vapB31	3	1.328599	0.231909	0.063641	0.0	0.695734	0.048266	0.085018	13.138868
0	RVBD1765c	RVBD1765c	5	0.837485	0.216513	-0.013861	0.0	0.0	0.51275	0.611274	-2.876461
-1	RVBD3207c	RVBD3207c	5	-1.515877	0.020847	-0.335031	0.0	0.11442	0.0	0.0	-69.244338
0	RVBD0414c	thiE	48	0.920797	0.103598	-0.007632	0.0	0.0	0.546218	0.640957	-1.589275
