#HMM - Genes
#Orf	Name	Desc	N	n0	n1	n2	n3	Avg. Insertions	Avg. Reads	State Call
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	23	0	0	23	0	0.4783	97.5	NE
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	23	10	0	13	0	0.3478	42.2	ES
Rv0019c	-	hypothetical protein Rv0019c 	12	1	0	11	0	0.5833	196.6	NE
Rv0020c	TB39.8	hypothetical protein Rv0020c 	50	42	0	8	0	0.1200	69.0	ES
Rv0021c	-	hypothetical protein Rv0021c 	18	0	0	18	0	0.8889	324.6	NE
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	0	0	8	0	1.0000	410.5	NE
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	12	0	0	0	0.0000	0.0	ES
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	11	0	0	11	0	0.8182	246.7	NE
Rv0025	-	hypothetical protein Rv0025 	7	0	0	7	0	1.0000	83.0	NE
Rv0026	-	hypothetical protein Rv0026 	12	0	0	12	0	0.6667	243.5	NE
Rv0027	-	hypothetical protein Rv0027 	5	0	0	5	0	0.4000	109.0	NE
Rv0028	-	hypothetical protein Rv0028 	4	0	0	4	0	0.5000	152.0	NE
Rv0029	-	hypothetical protein Rv0029 	17	0	0	17	0	0.8235	186.8	NE
Rv0030	-	hypothetical protein Rv0030 	5	0	0	5	0	0.2000	123.0	NE
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	0	0	1	0	0.0000	0.0	NE
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	50	12	0	38	0	0.4600	307.7	ES
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	0	0	3	0	1.0000	162.7	NE
Rv0034	-	hypothetical protein Rv0034 	5	0	0	5	0	0.8000	241.5	NE
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	24	0	0	24	0	0.9167	260.6	NE
Rv0036c	-	hypothetical protein Rv0036c 	4	0	0	4	0	1.0000	655.0	NE
Rv0037c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	17	0	0	17	0	0.5882	280.4	NE
Rv0038	-	hypothetical protein Rv0038 	7	0	0	7	0	0.7143	360.6	NE
Rv0039c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	4	0	0	4	0	0.5000	558.5	NE
Rv0040c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 	8	0	0	8	0	0.6250	72.2	NE
Rv0041	leuS	leucyl-tRNA synthetase 	66	66	0	0	0	0.0000	0.0	ES
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	5	0	0	5	0	0.6000	105.0	NE
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	7	0	0	7	0	0.8571	138.8	NE
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	19	0	0	19	0	0.8421	268.2	NE
Rv0045c	-	POSSIBLE HYDROLASE 	6	0	0	6	0	1.0000	254.8	NE
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	15	15	0	0	0	0.0000	0.0	ES
Rv0047c	-	hypothetical protein Rv0047c 	7	0	0	7	0	0.4286	286.0	NE
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	14	0	0	14	0	0.9286	415.2	NE
Rv0049	-	hypothetical protein Rv0049 	6	0	0	6	0	0.6667	180.0	NE
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	33	0	0	33	0	0.3030	46.8	NE
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	33	0	0	33	0	0.5758	189.4	NE
Rv0052	-	hypothetical protein Rv0052 	6	0	0	6	0	0.8333	245.8	NE
Rv0053	rpsF	30S ribosomal protein S6 	5	0	5	0	0	0.0000	0.0	GD
Rv0054	ssb	single-strand DNA-binding protein 	5	0	5	0	0	0.0000	0.0	GD
Rv0055	rpsR	30S ribosomal protein S18 	4	0	3	1	0	0.2500	54.0	GD
Rv0056	rplI	50S ribosomal protein L9 	7	0	0	7	0	0.7143	53.4	NE
Rv0057	-	hypothetical protein Rv0057 	15	2	0	13	0	0.4667	139.7	NE
Rv0058	dnaB	replicative DNA helicase 	36	36	0	0	0	0.0000	0.0	ES
Rv0059	-	hypothetical protein Rv0059 	16	0	0	16	0	0.7500	281.2	NE
Rv0060	-	hypothetical protein Rv0060 	21	21	0	0	0	0.0000	0.0	ES
Rv0061	-	hypothetical protein Rv0061 	6	0	0	6	0	0.5000	240.3	NE
Rv0062	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 	19	0	0	19	0	0.9474	200.4	NE
Rv0063	-	POSSIBLE OXIDOREDUCTASE 	21	0	0	21	0	0.8095	315.3	NE
Rv0064	-	hypothetical protein Rv0064 	64	0	0	64	0	0.5625	138.0	NE
Rv0065	-	hypothetical protein Rv0065 	7	1	0	6	0	0.5714	150.0	NE
Rv0066c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE 	33	22	11	0	0	0.0303	12.0	ES
Rv0067c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	11	0	11	0	0	0.2727	20.0	GD
Rv0068	-	short chain dehydrogenase 	11	0	0	11	0	0.7273	181.1	NE
Rv0069c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 	11	0	0	11	0	0.5455	417.2	NE
Rv0070c	glyA2	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 	16	0	0	16	0	0.6250	196.1	NE
Rv0071	-	POSSIBLE MATURASE 	8	0	0	8	0	0.6250	638.0	NE
Rv0072	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	16	0	0	16	0	0.8125	300.1	NE
Rv0073	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	13	0	0	13	0	0.9231	211.2	NE
Rv0074	-	hypothetical protein Rv0074 	14	0	0	14	0	0.5714	149.9	NE
Rv0075	-	PROBABLE AMINOTRANSFERASE 	22	0	0	22	0	0.7727	260.9	NE
Rv0076c	-	PROBABLE MEMBRANE PROTEIN 	3	0	0	3	0	1.0000	157.3	NE
Rv0077c	-	PROBABLE OXIDOREDUCTASE 	11	0	0	11	0	0.6364	140.0	NE
Rv0078	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	7	0	0	7	0	0.2857	59.0	NE
Rv0078A	-	hypothetical protein Rv0078A 	9	0	0	9	0	0.8889	174.5	NE
Rv0079	-	hypothetical protein Rv0079 	13	0	0	13	0	0.7692	351.4	NE
Rv0080	-	hypothetical protein Rv0080 	3	0	0	3	0	0.6667	813.0	NE
Rv0081	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	0	0	5	0	0.8000	417.5	NE
Rv0082	-	PROBABLE OXIDOREDUCTASE 	7	0	0	7	0	0.5714	257.8	NE
Rv0083	-	PROBABLE OXIDOREDUCTASE 	20	0	0	20	0	0.7500	271.7	NE
Rv0084	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 	7	0	0	7	0	0.8571	151.3	NE
Rv0085	hycP	POSSIBLE HYDROGENASE HYCP 	3	0	0	3	0	0.3333	224.0	NE
Rv0086	hycQ	POSSIBLE HYDROGENASE HYCQ 	14	0	0	14	0	0.5714	55.9	NE
Rv0087	hycE	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 	22	0	0	22	0	0.3182	118.3	NE
Rv0088	-	hypothetical protein Rv0088 	11	0	0	11	0	0.2727	94.0	NE
Rv0089	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 	9	0	0	9	0	0.7778	146.0	NE
Rv0090	-	POSSIBLE MEMBRANE PROTEIN 	12	0	0	12	0	0.6667	189.8	NE
Rv0091	mtn	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 	11	0	0	11	0	0.7273	451.8	NE
Rv0092	ctpA	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 	27	0	0	27	0	0.7778	207.9	NE
Rv0093c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	7	0	0	7	0	0.5714	61.8	NE
Rv0094c	-	hypothetical protein Rv0094c 	0	0	0	0	0	nan	0.0	N/A
Rv0095c	-	hypothetical protein Rv0095c 	6	0	0	6	0	0.1667	418.0	NE
Rv0096	PPE1	PPE FAMILY PROTEIN 	30	0	0	30	0	0.6333	207.8	NE
Rv0097	-	POSSIBLE OXIDOREDUCTASE 	24	0	0	24	0	0.5833	219.1	NE
Rv0098	-	hypothetical protein Rv0098 	10	0	0	10	0	0.7000	59.0	NE
Rv0099	fadD10	acyl-CoA synthetase 	30	0	0	30	0	0.3667	109.5	NE
Rv0100	-	hypothetical protein Rv0100 	3	0	0	3	0	0.6667	198.5	NE
Rv0101	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 	103	0	0	103	0	0.5728	207.6	NE
Rv0102	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	38	38	0	0	0	0.0000	0.0	ES
Rv0103c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 	28	0	0	28	0	0.8571	253.7	NE
Rv0104	-	hypothetical protein Rv0104 	25	0	0	25	0	0.7200	314.6	NE
Rv0105c	rpmB	50S ribosomal protein L28 	5	0	0	5	0	0.6000	193.0	NE
Rv0106	-	hypothetical protein Rv0106 	10	0	0	10	0	0.8000	154.5	NE
Rv0107c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 	59	0	0	59	0	0.4915	229.4	NE
Rv0108c	-	hypothetical protein Rv0108c 	2	0	0	2	0	1.0000	246.5	NE
Rv0109	PE_PGRS1	PE-PGRS FAMILY PROTEIN 	25	0	0	25	0	0.4400	57.1	NE
Rv0110	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	13	0	0	13	0	0.8462	637.4	NE
Rv0111	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 	40	0	0	40	0	0.7000	185.0	NE
Rv0112	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 	29	0	19	10	0	0.2414	56.1	GD
Rv0113	gmhA	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 	12	0	0	12	0	0.2500	274.0	NE
Rv0114	gmhB	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 	9	0	0	9	0	0.7778	149.1	NE
Rv0115	hddA	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 	17	0	0	17	0	0.9412	210.3	NE
Rv0116c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	15	0	0	15	0	0.9333	163.9	NE
Rv0117	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 	16	0	0	16	0	0.5000	111.2	NE
Rv0118c	oxcA	putative oxalyl-CoA decarboxylase 	25	0	0	25	0	0.4400	182.1	NE
Rv0119	fadD7	acyl-CoA synthetase 	13	13	0	0	0	0.0769	1.0	ES
Rv0120c	fusA2	elongation factor G 	25	0	0	25	0	0.4400	106.2	NE
Rv0121c	-	hypothetical protein Rv0121c 	10	0	0	10	0	0.6000	162.3	NE
Rv0122	-	hypothetical protein Rv0122 	9	0	0	9	0	0.4444	126.8	NE
Rv0123	-	hypothetical protein Rv0123 	7	0	0	7	0	0.0000	0.0	NE
Rv0124	PE_PGRS2	PE-PGRS FAMILY PROTEIN 	11	0	0	11	0	0.6364	179.0	NE
Rv0125	pepA	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 	9	0	1	8	0	0.8889	125.9	NE
Rv0126	treS	TREHALOSE SYNTHASE TRES 	29	1	28	0	0	0.2414	27.6	GD
Rv0127	-	hypothetical protein Rv0127 	28	28	0	0	0	0.0000	0.0	ES
Rv0128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	17	0	0	17	0	0.9412	296.8	NE
Rv0129c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 	27	0	0	27	0	0.3704	80.8	NE
Rv0130	-	hypothetical protein Rv0130 	3	0	0	3	0	1.0000	71.3	NE
Rv0131c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 	17	0	0	17	0	0.8824	141.2	NE
Rv0132c	fgd2	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 	14	0	0	14	0	0.7143	344.8	NE
Rv0133	-	PROBABLE ACETYLTRANSFERASE 	6	0	0	6	0	1.0000	538.7	NE
Rv0134	ephF	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 	11	0	0	11	0	0.9091	354.3	NE
Rv0135c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	11	0	0	11	0	0.5455	316.8	NE
Rv0136	cyp138	PROBABLE CYTOCHROME P450 138 CYP138 	22	0	0	22	0	0.8182	247.1	NE
Rv0137c	msrA	methionine sulfoxide reductase A 	11	0	0	11	0	0.7273	163.6	NE
Rv0138	-	hypothetical protein Rv0138 	6	0	0	6	0	1.0000	690.5	NE
Rv0139	-	POSSIBLE OXIDOREDUCTASE 	12	0	0	12	0	0.9167	629.2	NE
Rv0140	-	hypothetical protein Rv0140 	14	0	0	14	0	0.6429	394.7	NE
Rv0141c	-	hypothetical protein Rv0141c 	8	0	0	8	0	0.6250	214.4	NE
Rv0142	-	hypothetical protein Rv0142 	5	0	0	5	0	0.8000	254.0	NE
Rv0143c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	25	0	0	25	0	0.7200	201.6	NE
Rv0144	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	14	0	0	14	0	0.8571	321.2	NE
Rv0145	-	hypothetical protein Rv0145 	14	0	0	14	0	0.7857	273.6	NE
Rv0146	-	hypothetical protein Rv0146 	15	0	0	15	0	0.8000	404.2	NE
Rv0147	-	PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDENT 	23	0	0	23	0	0.9130	588.3	NE
Rv0148	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	15	0	0	15	0	0.9333	254.7	NE
Rv0149	-	POSSIBLE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN) 	19	0	0	19	0	0.6316	147.2	NE
Rv0150c	-	hypothetical protein Rv0150c 	4	0	0	4	0	0.7500	24.0	NE
Rv0151c	PE1	PE FAMILY PROTEIN 	40	0	0	40	0	0.8500	275.0	NE
Rv0152c	PE2	PE FAMILY PROTEIN 	35	0	0	35	0	0.8571	275.4	NE
Rv0153c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) 	11	0	0	11	0	0.4545	75.4	NE
Rv0154c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2 	11	0	0	11	0	0.6364	81.7	NE
Rv0155	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAA 	10	0	0	10	0	0.6000	113.7	NE
Rv0156	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAB 	0	0	0	0	0	nan	0.0	N/A
Rv0157	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB 	10	0	0	10	0	0.6000	45.8	NE
Rv0158	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	15	0	0	15	0	0.8667	227.3	NE
Rv0159c	PE3	PE FAMILY PROTEIN 	48	0	0	48	0	0.8542	391.6	NE
Rv0160c	PE4	PE FAMILY PROTEIN 	41	0	0	41	0	0.8049	403.1	NE
Rv0161	-	POSSIBLE OXIDOREDUCTASE 	16	0	0	16	0	0.4375	60.0	NE
Rv0162c	adhE1	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE 	15	0	0	15	0	0.5333	145.4	NE
Rv0163	-	hypothetical protein Rv0163 	9	0	0	9	0	1.0000	129.9	NE
Rv0164	TB18.5	hypothetical protein Rv0164 	8	0	0	8	0	0.1250	444.0	NE
Rv0165c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	6	0	0	6	0	0.8333	224.6	NE
Rv0166	fadD5	acyl-CoA synthetase 	23	0	0	23	0	0.7826	463.2	NE
Rv0167	yrbE1A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1A 	6	0	0	6	0	0.8333	45.6	NE
Rv0168	yrbE1B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1B 	13	0	0	13	0	0.9231	426.2	NE
Rv0169	mce1A	MCE-FAMILY PROTEIN MCE1A 	33	0	0	33	0	0.8182	363.2	NE
Rv0170	mce1B	MCE-FAMILY PROTEIN MCE1B 	16	0	0	16	0	0.7500	133.8	NE
Rv0171	mce1C	MCE-FAMILY PROTEIN MCE1C 	23	0	0	23	0	0.8696	185.8	NE
Rv0172	mce1D	MCE-FAMILY PROTEIN MCE1D 	31	0	0	31	0	0.8065	189.8	NE
Rv0173	lprK	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRK (MCE-FAMILY LIPOPROTEIN MCE1E) 	15	0	0	15	0	0.6667	464.2	NE
Rv0174	mce1F	MCE-FAMILY PROTEIN MCE1F 	28	0	0	28	0	0.7857	506.2	NE
Rv0175	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	9	0	0	9	0	0.7778	640.4	NE
Rv0176	-	PROBABLE CONSERVED MCE ASSOCIATED TRANSMEMBRANE PROTEIN 	15	0	0	15	0	0.8000	397.4	NE
Rv0177	-	PROBABLE CONSERVED MCE ASSOCIATED PROTEIN 	11	0	0	11	0	0.7273	246.2	NE
Rv0178	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	11	0	0	11	0	0.7273	288.5	NE
Rv0179c	lprO	POSSIBLE LIPOPROTEIN LPRO 	22	0	0	22	0	0.7727	266.3	NE
Rv0180c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	27	0	0	27	0	0.5926	130.1	NE
Rv0181c	-	hypothetical protein Rv0181c 	14	0	0	14	0	0.7143	87.1	NE
Rv0182c	sigG	RNA polymerase factor sigma-70 	19	0	0	19	0	0.8947	230.8	NE
Rv0183	-	POSSIBLE LYSOPHOSPHOLIPASE 	14	0	0	14	0	0.9286	389.7	NE
Rv0184	-	hypothetical protein Rv0184 	11	0	0	11	0	0.5455	266.7	NE
Rv0185	-	hypothetical protein Rv0185 	9	0	0	9	0	0.3333	594.0	NE
Rv0186	bglS	PROBABLE BETA-GLUCOSIDASE BGLS (GENTIOBIASE) (CELLOBIASE) (BETA-D-GLUCOSIDE GLUCOHYDROLASE) 	32	0	0	32	0	0.5000	163.9	NE
Rv0187	-	PROBABLE O-METHYLTRANSFERASE 	7	3	0	4	0	0.5714	131.5	NE
Rv0188	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	8	0	0	8	0	0.7500	58.3	NE
Rv0189c	ilvD	dihydroxy-acid dehydratase 	18	18	0	0	0	0.0000	0.0	ES
Rv0190	-	hypothetical protein Rv0190 	3	0	0	3	0	1.0000	115.0	NE
Rv0191	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	17	0	0	17	0	0.8824	776.7	NE
Rv0192	-	hypothetical protein Rv0192 	11	0	0	11	0	1.0000	463.5	NE
Rv0192A	-	CONSERVED SECRETED PROTEIN 	2	0	0	2	0	1.0000	473.0	NE
Rv0193c	-	hypothetical protein Rv0193c 	32	0	0	32	0	0.8438	229.5	NE
Rv0194	-	PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER 	48	0	0	48	0	0.8333	460.1	NE
Rv0195	-	POSSIBLE TWO COMPONENT TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY LUXR-FAMILY) 	6	0	0	6	0	1.0000	420.5	NE
Rv0196	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	7	0	0	7	0	1.0000	226.0	NE
Rv0197	-	POSSIBLE OXIDOREDUCTASE 	31	0	0	31	0	0.5161	174.0	NE
Rv0198c	-	PROBABLE ZINC METALLOPROTEASE 	39	0	17	22	0	0.4615	93.8	NE
Rv0199	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	12	0	0	12	0	0.5833	148.1	NE
Rv0200	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	7	0	0	7	0	0.2857	145.0	NE
Rv0201c	-	hypothetical protein Rv0201c 	7	0	0	7	0	1.0000	38.3	NE
Rv0202c	mmpL11	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL11 	36	0	0	36	0	0.5000	83.2	NE
Rv0203	-	POSSIBLE EXPORTED PROTEIN 	3	0	0	3	0	1.0000	338.3	NE
Rv0204c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	19	0	0	19	0	0.3684	35.0	NE
Rv0205	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	12	0	0	12	0	0.5833	229.9	NE
Rv0206c	mmpL3	POSSIBLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL3 	27	26	0	1	0	0.0370	66.0	ES
Rv0207c	-	hypothetical protein Rv0207c 	9	0	0	9	0	0.6667	162.5	NE
Rv0208c	trmB	tRNA (guanine-N(7))-methyltransferase 	10	0	0	10	0	0.2000	11.0	NE
Rv0209	-	hypothetical protein Rv0209 	14	0	0	14	0	0.7857	172.6	NE
Rv0210	-	hypothetical protein Rv0210 	12	0	0	12	0	0.6667	477.4	NE
Rv0211	pckA	phosphoenolpyruvate carboxykinase 	22	22	0	0	0	0.0000	0.0	ES
Rv0212c	nadR	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN NADR (PROBABLY ASNC-FAMILY) 	6	0	0	6	0	1.0000	178.7	NE
Rv0213c	-	POSSIBLE METHYLTRANSFERASE (METHYLASE) 	30	0	0	30	0	0.8333	249.7	NE
Rv0214	fadD4	acyl-CoA synthetase 	31	0	0	31	0	0.7419	251.8	NE
Rv0215c	fadE3	PROBABLE ACYL-CoA DEHYDROGENASE FADE3 	14	0	0	14	0	0.7143	301.9	NE
Rv0216	-	hypothetical protein Rv0216 	19	0	0	19	0	0.5263	54.9	NE
Rv0217c	lipW	POSSIBLE ESTERASE LIPW 	19	0	0	19	0	0.6842	167.3	NE
Rv0218	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	18	0	0	18	0	0.7778	339.1	NE
Rv0219	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	11	0	0	11	0	0.6364	245.9	NE
Rv0220	lipC	PROBABLE ESTERASE LIPC 	22	0	0	22	0	0.5000	168.0	NE
Rv0221	-	hypothetical protein Rv0221 	25	0	0	25	0	0.6800	296.0	NE
Rv0222	echA1	enoyl-CoA hydratase 	8	0	0	8	0	0.5000	114.0	NE
Rv0223c	-	PROBABLE ALDEHYDE DEHYDROGENASE 	22	0	0	22	0	0.5000	166.3	NE
Rv0224c	-	POSSIBLE METHYLTRANSFERASE (METHYLASE) 	14	14	0	0	0	0.0000	0.0	ES
Rv0225	-	POSSIBLE CONSERVED PROTEIN 	20	20	0	0	0	0.0000	0.0	ES
Rv0226c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	23	23	0	0	0	0.0000	0.0	ES
