#Resampling
#Command: python ignoreNTerm=5.0 ctrlString=/pacific/home/mdejesus/transit/tutorial/glycerol_reads_rep1.wig,/pacific/home/mdejesus/transit/tutorial/glycerol_reads_rep2.wig pubmsg=<bound method Publisher.sendMessage of <wx.lib.pubsub.core.publisher.Publisher instance at 0x3984290>> expString=/pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep1.wig,/pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep2.wig,/pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep3.wig ignoreCodon=True annotationPath=/pacific/home/mdejesus/transit/H37Rv.prot_table ignoreCTerm=5.0 histPath=/pacific/home/mdejesus/transit/testNC/resampling_results sampleSize=10000 doAdaptive=False output=<open file u'/pacific/home/mdejesus/transit/testNC/resampling_results.dat', mode 'w' at 0x41d4c90> doNormalize=True wx=<module 'wx' from '/usr/lib/python2.7/dist-packages/wx/__init__.pyc'>
#Control Samples:  /pacific/home/mdejesus/transit/tutorial/glycerol_reads_rep1.wig, /pacific/home/mdejesus/transit/tutorial/glycerol_reads_rep2.wig
#Experimental Samples:  /pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep1.wig, /pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep2.wig, /pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep3.wig
#Normalization factors: 1.0946	0.8477	1.1728	1.1715	0.8330
#Orf	%Name	Description	N	TAs Hit	Avg Rd 1	Avg Rd 2	Delta Rd	p-value	p-adj
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	22	0	0.0	0.0	0.0	1.00000	1.00000
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	13	0	0.0	0.0	0.0	1.00000	1.00000
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	34	13	424.1	320.2	-103.9	0.69610	1.00000
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	23	14	976.1	1096.9	120.7	0.85680	1.00000
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	23	8	321.8	295.3	-26.6	0.90680	1.00000
Rv0019c	-	hypothetical protein Rv0019c 	12	7	1395.3	374.7	-1020.6	0.11080	1.00000
Rv0020c	TB39.8	hypothetical protein Rv0020c 	50	7	386.5	398.4	11.9	0.96460	1.00000
Rv0021c	-	hypothetical protein Rv0021c 	18	17	4961.1	9692.8	4731.7	0.30080	1.00000
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	8	2968.1	3364.2	396.2	0.86060	1.00000
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	0	0.0	0.0	0.0	1.00000	1.00000
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	11	9	2037.0	2298.2	261.3	0.85800	1.00000
Rv0025	-	hypothetical protein Rv0025 	7	7	538.4	1656.4	1118.0	0.06200	1.00000
Rv0026	-	hypothetical protein Rv0026 	12	8	1775.8	1606.3	-169.4	0.87740	1.00000
Rv0027	-	hypothetical protein Rv0027 	5	3	192.2	40.3	-151.9	0.28480	1.00000
Rv0028	-	hypothetical protein Rv0028 	4	3	258.9	337.7	78.8	0.71980	1.00000
Rv0029	-	hypothetical protein Rv0029 	17	14	2395.3	9879.4	7484.2	0.15840	1.00000
Rv0030	-	hypothetical protein Rv0030 	5	1	110.2	65.7	-44.5	0.70160	1.00000
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	1	0	0.0	0.0	0.0	1.00000	1.00000
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	50	27	6587.6	10150.6	3562.9	0.47600	1.00000
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	3	464.3	673.2	208.9	0.56610	1.00000
Rv0034	-	hypothetical protein Rv0034 	5	5	854.4	1200.1	345.7	0.64810	1.00000
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	24	22	5328.3	5424.3	95.9	0.98480	1.00000
Rv0036c	-	hypothetical protein Rv0036c 	4	4	2462.9	1480.5	-982.4	0.47510	1.00000
Rv0037c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	17	15	2754.9	4533.2	1778.3	0.49160	1.00000
Rv0038	-	hypothetical protein Rv0038 	7	6	1710.1	2519.1	809.0	0.54670	1.00000
Rv0039c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	4	2	1050.1	1520.6	470.5	0.60380	1.00000
Rv0040c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 	8	6	343.3	1039.6	696.3	0.12980	1.00000
Rv0041	leuS	leucyl-tRNA synthetase 	66	0	0.0	0.0	0.0	1.00000	1.00000
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	5	4	275.9	177.8	-98.2	0.60980	1.00000
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	7	6	743.9	325.5	-418.4	0.24360	1.00000
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	19	17	3986.6	3248.0	-738.6	0.75320	1.00000
Rv0045c	-	POSSIBLE HYDROLASE 	6	6	1384.3	1311.7	-72.6	0.93990	1.00000
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	15	0	0.0	0.0	0.0	1.00000	1.00000
Rv0047c	-	hypothetical protein Rv0047c 	7	3	828.1	162.6	-665.5	0.20470	1.00000
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	14	13	4989.1	4855.4	-133.7	0.97210	1.00000
Rv0049	-	hypothetical protein Rv0049 	6	5	651.1	1561.2	910.1	0.21280	1.00000
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	33	13	409.6	969.5	559.9	0.24210	1.00000
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	33	22	3437.4	2962.2	-475.2	0.82200	1.00000
Rv0052	-	hypothetical protein Rv0052 	6	5	1158.1	720.2	-437.9	0.46880	1.00000
Rv0053	rpsF	30S ribosomal protein S6 	5	0	0.0	0.0	0.0	1.00000	1.00000
Rv0054	ssb	single-strand DNA-binding protein 	5	0	0.0	0.0	0.0	1.00000	1.00000
Rv0055	rpsR	30S ribosomal protein S18 	4	1	45.8	0.0	-45.8	1.00000	1.00000
Rv0056	rplI	50S ribosomal protein L9 	7	5	236.2	98.2	-138.0	0.29730	1.00000
Rv0057	-	hypothetical protein Rv0057 	15	7	919.4	1366.9	447.5	0.53420	1.00000
Rv0058	dnaB	replicative DNA helicase 	36	0	0.0	0.0	0.0	1.00000	1.00000
Rv0059	-	hypothetical protein Rv0059 	16	13	3178.1	3078.7	-99.5	0.96330	1.00000
Rv0060	-	hypothetical protein Rv0060 	21	0	0.0	0.0	0.0	1.00000	1.00000
Rv0061	-	hypothetical protein Rv0061 	6	4	654.2	930.7	276.6	0.64010	1.00000
Rv0062	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 	19	18	3348.5	2996.7	-351.8	0.89240	1.00000
Rv0063	-	POSSIBLE OXIDOREDUCTASE 	21	17	5077.9	20588.2	15510.2	0.23380	1.00000
Rv0064	-	hypothetical protein Rv0064 	64	42	4628.0	5405.4	777.4	0.87230	1.00000
Rv0065	-	hypothetical protein Rv0065 	7	4	569.4	1091.1	521.8	0.41840	1.00000
Rv0066c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE 	33	1	10.2	0.0	-10.2	1.00000	1.00000
Rv0067c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	11	4	50.9	111.8	60.9	0.52820	1.00000
Rv0068	-	short chain dehydrogenase 	11	8	1439.6	2574.4	1134.8	0.52930	1.00000
Rv0069c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 	11	7	2595.0	162399.8	159804.8	0.23460	1.00000
Rv0070c	glyA2	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 	16	13	1809.2	2056.5	247.3	0.84680	1.00000
Rv0071	-	POSSIBLE MATURASE 	8	6	3134.2	4332.5	1198.3	0.62740	1.00000
Rv0072	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	16	13	3623.4	4169.3	545.9	0.83300	1.00000
Rv0073	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	13	13	2309.3	2324.8	15.5	0.99170	1.00000
Rv0074	-	hypothetical protein Rv0074 	14	11	1090.5	1280.8	190.3	0.81450	1.00000
Rv0075	-	PROBABLE AMINOTRANSFERASE 	22	19	4208.0	5526.2	1318.2	0.71220	1.00000
Rv0076c	-	PROBABLE MEMBRANE PROTEIN 	3	3	444.6	706.5	261.9	0.58310	1.00000
Rv0077c	-	PROBABLE OXIDOREDUCTASE 	11	8	954.4	824.2	-130.2	0.82000	1.00000
Rv0078	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	7	3	120.0	65.6	-54.4	0.57270	1.00000
Rv0078A	-	hypothetical protein Rv0078A 	9	8	1366.8	890.1	-476.7	0.52430	1.00000
Rv0079	-	hypothetical protein Rv0079 	13	11	3322.7	3493.6	170.9	0.94520	1.00000
Rv0080	-	hypothetical protein Rv0080 	3	3	1522.5	1984.4	461.8	0.74910	1.00000
Rv0081	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	5	4	1571.7	1528.0	-43.7	0.96220	1.00000
Rv0082	-	PROBABLE OXIDOREDUCTASE 	7	4	1013.2	962.2	-51.0	0.93840	1.00000
Rv0083	-	PROBABLE OXIDOREDUCTASE 	20	16	3734.4	2638.1	-1096.3	0.58480	1.00000
Rv0084	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 	7	6	863.3	662.6	-200.7	0.71440	1.00000
Rv0085	hycP	POSSIBLE HYDROGENASE HYCP 	3	1	210.6	118.7	-91.9	0.50710	1.00000
Rv0086	hycQ	POSSIBLE HYDROGENASE HYCQ 	14	10	417.4	600.3	182.9	0.60790	1.00000
Rv0087	hycE	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 	22	8	767.1	508.9	-258.1	0.56630	1.00000
Rv0088	-	hypothetical protein Rv0088 	11	3	266.7	431.7	165.0	0.59930	1.00000
Rv0089	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 	9	8	931.3	1108.3	177.1	0.81970	1.00000
Rv0090	-	POSSIBLE MEMBRANE PROTEIN 	12	9	1425.3	1319.3	-106.0	0.90780	1.00000
Rv0091	mtn	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 	11	9	3418.4	2671.0	-747.3	0.72140	1.00000
Rv0092	ctpA	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 	27	23	4160.3	2477.0	-1683.3	0.34060	1.00000
Rv0093c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	7	5	225.4	227.8	2.4	0.99160	1.00000
Rv0094c	-	hypothetical protein Rv0094c 	0	0	0.0	0.0	0.0	1.00000	1.00000
Rv0095c	-	hypothetical protein Rv0095c 	6	1	418.3	530.3	112.0	0.69420	1.00000
Rv0096	PPE1	PPE FAMILY PROTEIN 	30	24	3633.5	3838.6	205.1	0.93330	1.00000
Rv0097	-	POSSIBLE OXIDOREDUCTASE 	24	16	2929.0	1979.5	-949.5	0.56140	1.00000
Rv0098	-	hypothetical protein Rv0098 	10	8	380.7	853.6	472.9	0.28780	1.00000
Rv0099	fadD10	acyl-CoA synthetase 	30	13	1122.6	1340.1	217.5	0.78920	1.00000
Rv0100	-	hypothetical protein Rv0100 	3	2	411.3	269.0	-142.3	0.66540	1.00000
Rv0101	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 	103	62	11688.6	32655.7	20967.1	0.31690	1.00000
Rv0102	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	38	0	0.0	0.0	0.0	1.00000	1.00000
Rv0103c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 	28	24	5735.4	6209.9	474.5	0.92080	1.00000
Rv0104	-	hypothetical protein Rv0104 	25	20	5178.4	4335.6	-842.9	0.81090	1.00000
Rv0105c	rpmB	50S ribosomal protein L28 	5	3	535.0	1021.9	486.9	0.44770	1.00000
Rv0106	-	hypothetical protein Rv0106 	10	8	1110.2	914.0	-196.3	0.78240	1.00000
Rv0107c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 	59	32	6199.9	7071.0	871.2	0.86160	1.00000
Rv0108c	-	hypothetical protein Rv0108c 	2	2	482.4	543.6	61.2	0.88320	1.00000
Rv0109	PE_PGRS1	PE-PGRS FAMILY PROTEIN 	25	13	566.7	955.4	388.7	0.39170	1.00000
Rv0110	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	13	11	6684.9	7792.7	1107.8	0.81370	1.00000
Rv0111	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 	40	29	4895.1	14988.7	10093.6	0.00720	0.42247
Rv0112	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 	29	10	381.5	447.6	66.1	0.85350	1.00000
Rv0113	gmhA	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 	12	4	734.8	500.7	-234.1	0.75460	1.00000
Rv0114	gmhB	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 	9	8	964.5	1271.7	307.2	0.71050	1.00000
Rv0115	hddA	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 	17	16	3240.4	2735.8	-504.6	0.80790	1.00000
Rv0116c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	15	15	2122.0	2410.3	288.3	0.86930	1.00000
Rv0117	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 	16	9	875.2	660.0	-215.2	0.70770	1.00000
Rv0118c	oxcA	putative oxalyl-CoA decarboxylase 	25	13	1896.4	1971.2	74.8	0.95330	1.00000
Rv0119	fadD7	acyl-CoA synthetase 	13	1	1.1	4.3	3.3	0.69680	1.00000
Rv0120c	fusA2	elongation factor G 	25	12	1043.5	958.1	-85.3	0.90370	1.00000
Rv0121c	-	hypothetical protein Rv0121c 	10	6	895.3	740.0	-155.3	0.78870	1.00000
Rv0122	-	hypothetical protein Rv0122 	9	6	517.7	582.2	64.5	0.92140	1.00000
Rv0123	-	hypothetical protein Rv0123 	7	0	0.0	0.0	0.0	1.00000	1.00000
Rv0124	PE_PGRS2	PE-PGRS FAMILY PROTEIN 	11	7	1185.1	525.1	-660.0	0.19740	1.00000
Rv0125	pepA	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 	9	8	912.9	924.8	11.9	0.98600	1.00000
Rv0126	treS	TREHALOSE SYNTHASE TRES 	29	15	171.8	392.5	220.7	0.33900	1.00000
Rv0127	-	hypothetical protein Rv0127 	28	0	0.0	0.0	0.0	1.00000	1.00000
Rv0128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	17	17	4400.4	3532.3	-868.1	0.75740	1.00000
Rv0129c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 	27	13	704.2	5457.4	4753.2	0.00600	0.36831
Rv0130	-	hypothetical protein Rv0130 	3	3	189.1	200.2	11.1	0.94310	1.00000
Rv0131c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 	17	15	2011.0	1236.5	-774.5	0.43120	1.00000
Rv0132c	fgd2	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 	14	11	3267.3	4581.8	1314.5	0.59340	1.00000
Rv0133	-	PROBABLE ACETYLTRANSFERASE 	6	6	2992.1	3043.1	51.0	0.97970	1.00000
Rv0134	ephF	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 	11	11	3382.9	1769.7	-1613.2	0.30040	1.00000
Rv0135c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	11	6	1801.3	571.2	-1230.1	0.15290	1.00000
Rv0136	cyp138	PROBABLE CYTOCHROME P450 138 CYP138 	22	18	4202.8	3930.6	-272.1	0.92350	1.00000
Rv0137c	msrA	methionine sulfoxide reductase A 	11	8	1208.4	752.6	-455.8	0.46870	1.00000
Rv0138	-	hypothetical protein Rv0138 	6	6	4039.4	3560.9	-478.4	0.84480	1.00000
Rv0139	-	POSSIBLE OXIDOREDUCTASE 	12	11	6580.7	6024.8	-555.9	0.90440	1.00000
Rv0140	-	hypothetical protein Rv0140 	14	10	3289.5	4464.7	1175.2	0.64010	1.00000
Rv0141c	-	hypothetical protein Rv0141c 	8	5	1011.9	1315.8	303.9	0.73500	1.00000
Rv0142	-	hypothetical protein Rv0142 	5	4	925.2	439.4	-485.8	0.29230	1.00000
Rv0143c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	25	19	3372.2	6830.5	3458.2	0.27300	1.00000
Rv0144	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	14	12	3682.5	3724.0	41.4	0.98670	1.00000
Rv0145	-	hypothetical protein Rv0145 	14	11	2846.1	1674.1	-1172.0	0.37590	1.00000
Rv0146	-	hypothetical protein Rv0146 	15	12	4516.9	5330.5	813.6	0.81270	1.00000
Rv0147	-	PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDENT 	23	21	11584.1	7073.1	-4511.0	0.39040	1.00000
Rv0148	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	15	15	3396.2	3515.5	119.3	0.96220	1.00000
Rv0149	-	POSSIBLE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN) 	19	15	1659.2	2592.1	932.9	0.47530	1.00000
Rv0150c	-	hypothetical protein Rv0150c 	4	3	62.8	104.3	41.5	0.94520	1.00000
Rv0151c	PE1	PE FAMILY PROTEIN 	40	34	8695.4	15082.6	6387.2	0.38690	1.00000
Rv0152c	PE2	PE FAMILY PROTEIN 	35	30	7869.4	16333.6	8464.2	0.38430	1.00000
Rv0153c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) 	11	6	338.6	110.6	-228.0	0.26520	1.00000
Rv0154c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2 	11	8	529.1	202.1	-327.0	0.17240	1.00000
Rv0155	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAA 	10	7	666.0	307.5	-358.6	0.27520	1.00000
Rv0156	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAB 	0	0	0.0	0.0	0.0	1.00000	1.00000
Rv0157	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB 	10	6	279.5	117.9	-161.6	0.26850	1.00000
Rv0158	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	15	14	2671.1	4695.7	2024.6	0.27050	1.00000
Rv0159c	PE3	PE FAMILY PROTEIN 	48	43	15356.9	14231.2	-1125.7	0.96100	1.00000
Rv0160c	PE4	PE FAMILY PROTEIN 	41	34	12401.6	13811.4	1409.8	0.87690	1.00000
Rv0161	-	POSSIBLE OXIDOREDUCTASE 	16	11	409.4	778.5	369.2	0.31680	1.00000
Rv0162c	adhE1	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE 	15	9	1057.5	951.4	-106.1	0.86560	1.00000
Rv0163	-	hypothetical protein Rv0163 	9	9	1096.4	911.6	-184.8	0.78460	1.00000
Rv0164	TB18.5	hypothetical protein Rv0164 	8	1	386.8	433.0	46.3	0.90180	1.00000
Rv0165c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	6	5	1033.9	733.3	-300.6	0.58650	1.00000
Rv0166	fadD5	acyl-CoA synthetase 	23	19	7799.6	6709.8	-1089.8	0.85310	1.00000
Rv0167	yrbE1A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1A 	6	5	204.6	1656.0	1451.4	0.01380	0.71104
Rv0168	yrbE1B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1B 	13	12	5001.5	47429.0	42427.5	0.03030	1.00000
Rv0169	mce1A	MCE-FAMILY PROTEIN MCE1A 	33	28	9566.2	19011.4	9445.2	0.11470	1.00000
Rv0170	mce1B	MCE-FAMILY PROTEIN MCE1B 	16	15	1629.0	5359.1	3730.0	0.01000	0.54658
Rv0171	mce1C	MCE-FAMILY PROTEIN MCE1C 	23	22	3584.3	9637.9	6053.6	0.04190	1.00000
Rv0172	mce1D	MCE-FAMILY PROTEIN MCE1D 	31	28	4578.0	10299.7	5721.7	0.10740	1.00000
Rv0173	lprK	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRK (MCE-FAMILY LIPOPROTEIN MCE1E) 	15	12	4424.6	8863.3	4438.7	0.17520	1.00000
Rv0174	mce1F	MCE-FAMILY PROTEIN MCE1F 	28	23	10804.7	20587.7	9782.9	0.18850	1.00000
Rv0175	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	9	7	4331.0	7090.6	2759.6	0.40700	1.00000
Rv0176	-	PROBABLE CONSERVED MCE ASSOCIATED TRANSMEMBRANE PROTEIN 	15	12	4859.1	97938.6	93079.5	0.14270	1.00000
Rv0177	-	PROBABLE CONSERVED MCE ASSOCIATED PROTEIN 	11	9	1987.4	3935.6	1948.2	0.31210	1.00000
Rv0178	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	11	9	2220.9	4550.8	2329.9	0.22720	1.00000
Rv0179c	lprO	POSSIBLE LIPOPROTEIN LPRO 	22	21	4281.2	4582.8	301.6	0.93810	1.00000
Rv0180c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	27	18	1985.8	2025.4	39.7	0.98130	1.00000
Rv0181c	-	hypothetical protein Rv0181c 	14	10	782.5	2142.2	1359.6	0.23880	1.00000
Rv0182c	sigG	RNA polymerase factor sigma-70 	19	18	3595.9	2689.1	-906.8	0.64960	1.00000
Rv0183	-	POSSIBLE LYSOPHOSPHOLIPASE 	14	14	4721.8	5116.7	394.9	0.90910	1.00000
Rv0184	-	hypothetical protein Rv0184 	11	6	1531.9	749.7	-782.1	0.39470	1.00000
Rv0185	-	hypothetical protein Rv0185 	9	3	1673.3	1066.8	-606.5	0.51130	1.00000
